Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Ankylosing Spondylitis	Young male with chronic lower back pain and morning stiffness that improves with exercise; "bamboo spine" on radiographs	Chronic inflammatory disease primarily affecting sacroiliac joints and spine; human leukocyte antigen B27 association; inflammation leads to erosions followed by pathological new bone formation causing fusion and ankylosis	Prevalence approximately 0.1-1.4% in general population; male predominance 2-3 to 1; typical onset before age 45 years, often in late teens to early twenties	Inflammatory back pain with gradual onset, morning stiffness lasting over 30 minutes, improvement with activity but not rest, alternating buttock pain, reduced spinal mobility, peripheral arthritis, enthesitis, uveitis possible	Chronic progressive course over years; symptoms typically begin before age 45 years	Mechanical back pain, diffuse idiopathic skeletal hyperostosis, osteitis condensans ilii, degenerative disc disease, other spondyloarthropathies including psoriatic arthritis and reactive arthritis	Sacroiliac joint radiographs showing sacroiliitis; magnetic resonance imaging detects earlier inflammation; human leukocyte antigen B27 testing; elevated C-reactive protein; rheumatology referral for confirmation	Nonsteroidal anti-inflammatory drugs as first-line; physical therapy to maintain mobility and posture; tumor necrosis factor inhibitors, interleukin 17 inhibitors, or Janus kinase inhibitors for inadequate response to nonsteroidal anti-inflammatory drugs	N	https://www.rheumatology.org/patients/ankylosing-spondylitis																
Anterior Cruciate Ligament Tear	Athlete with acute knee injury during pivoting or cutting; audible "pop" at time of injury; immediate effusion; inability to continue activity; positive Lachman test	Noncontact injury from deceleration, pivoting, or landing; contact injury from direct blow; ligament disruption allows abnormal anterior translation of tibia on femur; associated injuries include meniscal tears, bone bruising, collateral ligament injury	Annual incidence approximately 200,000 in United States; affects athletes and active individuals; female athletes have 2 to 8 times higher risk than males in similar sports; mean age 29 years but increasing in patients under 14 and over 40 years	Acute knee pain; audible pop; immediate effusion; difficulty bearing weight; giving way or buckling; positive Lachman test (87 percent sensitive, 97 percent specific); positive pivot shift test (49 percent sensitive, 98 percent specific); positive anterior drawer test	Acute onset at time of injury; chronic instability if untreated	Meniscal tear, posterior cruciate ligament tear, collateral ligament injury, patellar dislocation, fracture	Clinical diagnosis with Lachman test most sensitive; magnetic resonance imaging 97 percent sensitive and 100 percent specific; evaluates concomitant meniscal, cartilage, and ligament injuries; plain radiographs to exclude fracture	Nonoperative: physical therapy with quadriceps strengthening for less active patients with less laxity; Operative: anterior cruciate ligament reconstruction (hamstring autograft or patellar tendon autograft) for active patients with instability; both autografts and allografts have similar outcomes	N	https://www.uptodate.com/contents/anterior-cruciate-ligament-injury																
Avascular Necrosis	Adult with hip or shoulder pain and risk factors such as corticosteroid use, alcohol abuse, or trauma; "crescent sign" on radiographs	Bone death due to inadequate vascular supply from vascular interruption, occlusion, or extravascular compression; leads to subchondral fracture and secondary osteoarthritis if untreated	Incidence 10,000-20,000 new symptomatic cases per year in United States; most common in third to fifth decades of life; bilateral femoral head involvement in 70-80% of nontraumatic cases	Pain in affected joint, especially with weight-bearing; limited range of motion; most commonly affects femoral head, also humeral head, knee, talus, scaphoid, lunate	Gradual onset; progressive collapse without treatment; early stages may be asymptomatic	Osteoarthritis, inflammatory arthritis, transient osteoporosis of hip, bone tumor, stress fracture	Radiographs may be normal early; magnetic resonance imaging is most sensitive for early detection showing bone marrow edema and subchondral changes; computed tomography shows structural changes	Early stage: core decompression, bone grafting, vascularized bone grafts; advanced stage with collapse: joint replacement; risk factor modification including cessation of corticosteroids and alcohol	N	https://orthoinfo.aaos.org/en/diseases--conditions/osteonecrosis-of-the-hip/																
Becker Muscular Dystrophy	Adolescent or young adult male with proximal muscle weakness, calf pseudohypertrophy, and elevated creatine kinase; later onset and milder than Duchenne muscular dystrophy	X-linked recessive disorder caused by in-frame mutations in dystrophin gene resulting in reduced or abnormal but partially functional dystrophin protein	Incidence approximately 1 in 19,000 male births; X-linked recessive inheritance	Proximal muscle weakness predominantly affecting hip girdle and thigh extensors, onset typically age 10-13 years; calf pseudohypertrophy, muscle cramping with activity, elevated creatine kinase; dilated cardiomyopathy often disproportionate to skeletal muscle involvement; remain ambulatory past age 16 years	Gradual progressive weakness over years to decades; many remain ambulatory into adulthood or throughout life; cardiomyopathy develops mean age 14.5 years	Duchenne muscular dystrophy, limb-girdle muscular dystrophies, spinal muscular atrophy, metabolic myopathies, inflammatory myopathies	Elevated creatine kinase often markedly elevated; genetic testing showing in-frame dystrophin gene mutations; muscle biopsy shows reduced or abnormal dystrophin; electromyography shows myopathic pattern	Corticosteroids may slow progression; cardiac monitoring and treatment with angiotensin-converting enzyme inhibitors or beta-blockers for cardiomyopathy; physical therapy; respiratory support as needed; genetic counseling	N	https://www.mda.org/disease/becker-muscular-dystrophy																
Behçet Disease	Young adult from Mediterranean or East Asian descent with recurrent oral and genital ulcers, uveitis, and skin lesions; "Silk Road disease"; pathergy test positive	Systemic vasculitis affecting vessels of all sizes; neutrophil hyperfunction; genetic predisposition (human leukocyte antigen B51); environmental triggers; immune dysregulation with elevated interleukin-17 and tumor necrosis factor alpha	Highest prevalence along ancient Silk Road (Turkey, Middle East, East Asia); rare in Northern Europe and North America; male predominance in some regions; peak onset 20 to 40 years	Recurrent oral ulcers (98 percent); genital ulcers; uveitis (posterior more common); skin lesions (erythema nodosum, pseudofolliculitis); arthritis; deep vein thrombosis; arterial aneurysms; central nervous system involvement; gastrointestinal ulcers; positive pathergy test	Chronic relapsing-remitting course; flares and remissions over years; may improve with age	Herpes simplex virus infection, inflammatory bowel disease, reactive arthritis, systemic lupus erythematosus, sarcoidosis, Sweet syndrome	Clinical diagnosis: recurrent oral ulcers plus two of genital ulcers, eye lesions, skin lesions, positive pathergy test; no specific laboratory test; elevated inflammatory markers during flares	Colchicine for mucocutaneous manifestations; glucocorticoids for acute flares; azathioprine or tumor necrosis factor inhibitors (infliximab, adalimumab) for severe disease; anticoagulation for thrombosis; interleukin-1 inhibitors (anakinra) for refractory cases	Y	https://www.uptodate.com/contents/clinical-manifestations-and-diagnosis-of-behcet-syndrome																
Boxer's Fracture	Young male with hand pain after punching wall or person; fracture of fifth metacarpal neck with volar angulation	Fracture of metacarpal neck, most commonly fifth metacarpal, with apex dorsal angulation from axial loading force transmitted through flexed metacarpophalangeal joint during punching	Most common metacarpal fracture; typically affects young males aged 10 to 29 years; fifth metacarpal most common, followed by fourth	Pain, swelling, tenderness over metacarpal neck; loss of knuckle prominence; rotational deformity; assess for fight bite with tooth penetration and infection risk	Healing occurs over 4 to 6 weeks with immobilization; functional outcome generally excellent with conservative management	Fourth metacarpal neck fracture, metacarpal shaft fracture, metacarpophalangeal joint dislocation, extensor tendon injury	Posteroanterior, lateral, and oblique hand radiographs; assess degree of angulation and rotational deformity; examine for open fracture from tooth penetration in fight bite	Ulnar gutter splint with metacarpophalangeal joint in 70 to 90 degrees flexion for 3 to 4 weeks; acceptable angulation up to 40 degrees for fifth metacarpal, 20 degrees for fourth; surgical fixation for excessive angulation, rotational deformity, or open fracture; antibiotics for fight bite	N	https://www.aafp.org/pubs/afp/issues/2016/0701/p102.html																
Brodie Abscess	Child or adolescent with insidious onset of localized bone pain; low-grade fever or afebrile; metaphyseal lucent lesion on radiograph; subacute osteomyelitis	Subacute hematogenous osteomyelitis with intraosseous abscess formation; low-grade pyogenic infection; Staphylococcus aureus most common organism (65 percent); abscess cavity surrounded by sclerotic bone	Rare variant of subacute osteomyelitis; affects children and young adults (mean age 21.5 years); male predominance (75 percent); tibia most common (50 percent), followed by femur (30 percent)	Localized bone pain; tenderness; low-grade fever or afebrile; minimal systemic symptoms; limp if lower extremity involved; metaphyseal or diaphyseal involvement	Insidious onset over weeks to months; chronic indolent course	Acute osteomyelitis, osteoid osteoma, Ewing sarcoma, bone cyst, stress fracture, Langerhans cell histiocytosis	Plain radiographs show well-defined radiolucent lesion with surrounding sclerosis; magnetic resonance imaging shows abscess cavity with rim enhancement; bone biopsy with culture (Staphylococcus aureus in 65 percent); elevated inflammatory markers may be absent	Surgical curettage of abscess cavity; cancellous bone grafting; prolonged antibiotics (6 weeks) including antistaphylococcal coverage; excellent outcomes with complete incorporation of grafts and no recurrence	N	https://www.uptodate.com/contents/osteomyelitis																
C7 Radiculopathy	Neck and arm pain radiating to shoulder girdle and forearm with numbness in middle finger; diminished triceps reflex	Mechanical compression and inflammation of C7 nerve root from disc herniation or degenerative changes including facet hypertrophy and osteophytes	Most common cervical radiculopathy along with C6; peak onset in fifth decade; annual incidence 83 per 100,000 persons	Neck pain with radiation to shoulder girdle, arm, and forearm; numbness and paresthesias in middle finger and central hand; triceps weakness; diminished triceps reflex; pain worsened by Spurling test	Acute onset with disc herniation or chronic with degenerative changes; most cases resolve spontaneously within 4-6 weeks	C6 radiculopathy, C8 radiculopathy, carpal tunnel syndrome, peripheral neuropathy, rotator cuff pathology, cervical myelopathy	Clinical diagnosis; magnetic resonance imaging if red flags, trauma, or persistent symptoms after 4-6 weeks; electrodiagnostic studies if diagnosis unclear or peripheral neuropathy suspected	Conservative management with nonsteroidal anti-inflammatory drugs, physical therapy, muscle relaxants; epidural steroid injections for refractory symptoms; surgery for persistent symptoms or neurologic deficit after 4-6 weeks of conservative treatment	N	https://www.aafp.org/pubs/afp/issues/2016/0501/p746.html																
Carpal Tunnel Syndrome	Nighttime hand pain and paresthesias in thumb, index, middle, and radial half of ring finger; positive Phalen test and Tinel sign; "flick sign"	Compression of median nerve as it travels through carpal tunnel causing nerve ischemia and demyelination	Most common entrapment neuropathy; prevalence 0.6-5.8% in general population, 3-6% in adults; highest after age 45 years; more common in women	Pain, paresthesias, and numbness in median nerve distribution; weakness and thenar atrophy in severe cases; positive Phalen maneuver, Tinel sign, median nerve compression test, flick sign	Gradual onset over weeks to months; symptoms often worse at night	Cervical radiculopathy, pronator syndrome, anterior interosseous syndrome, peripheral neuropathy, thoracic outlet syndrome, de Quervain tenosynovitis	Clinical diagnosis in typical cases; nerve conduction studies and electromyography confirm diagnosis in atypical cases, exclude other causes, and gauge severity for surgical prognosis; ultrasonography shows median nerve compression	Mild to moderate: wrist splinting in neutral position, corticosteroid injection; severe with objective weakness or sensory deficits: surgical decompression with open or endoscopic carpal tunnel release; avoid nonsteroidal anti-inflammatory drugs, diuretics, vitamin B6	N	https://www.aafp.org/pubs/afp/issues/2016/1215/p993.html																
Cauda Equina Syndrome	Low back pain with bilateral leg pain, saddle anesthesia, urinary retention, and loss of anal sphincter tone; "red flag" emergency	Compression of cauda equina nerve roots in lumbosacral spinal canal from disc herniation, tumor, abscess, or trauma causing ischemia and neural damage	Rare; exact incidence unclear; most commonly caused by large central disc herniation	Bilateral neurogenic sciatica, reduced perineal and saddle sensation, painless urinary retention with elevated post-void residual, loss of anal tone, sexual dysfunction, bilateral lower extremity motor and sensory deficits	Can be sudden or gradual; neurological deterioration can occur rapidly and unpredictably; irreversible damage occurs without urgent treatment	Conus medullaris syndrome, spinal cord compression, lumbar radiculopathy, spinal stenosis, peripheral neuropathy, spinal abscess, spinal tumor	Urgent magnetic resonance imaging or computed tomography myelography if magnetic resonance imaging unavailable; post-void residual bladder volume; digital rectal examination for anal tone	Emergent neurosurgical or orthopedic spine consultation; urgent surgical decompression as soon as practically possible; early intervention improves neurologic recovery	Y	https://www.orthobullets.com/spine/2033/cauda-equina-syndrome																
Cerebral Palsy	Child with delayed motor milestones, spasticity, abnormal tone, and nonprogressive motor disorder; Gowers sign may be absent unlike muscular dystrophy	Group of permanent disorders from nonprogressive disturbances in developing fetal or infant brain; causes include prematurity, hypoxic-ischemic encephalopathy, periventricular leukomalacia, stroke, infections, genetic factors	Most common childhood physical disability; prevalence 1.4-3.1 per 1000 live births in high-income countries; higher in low- to middle-income countries; 94% prenatal or perinatal, 6% postnatal	Spasticity 92%, dyskinesia 4%, ataxia 1%, hypotonia 2%; unilateral or bilateral involvement; delayed motor milestones, abnormal tone, persistent primitive reflexes, asymmetry; comorbidities include epilepsy 35%, intellectual disability 49%, pain 75%	Nonprogressive brain injury but motor manifestations evolve during first 2 years; diagnosis typically 12-24 months but can be earlier with advanced tools	Muscular dystrophy, spinal muscular atrophy, metabolic disorders, genetic syndromes, progressive neurologic disorders, benign hypotonia of infancy	Clinical diagnosis; magnetic resonance imaging brain shows underlying lesion in most cases; Prechtl general movement assessment and Hammersmith Infant Neurologic Examination for early detection; motor screening at 9, 18, 30, 48 months	Early intervention with physical therapy, occupational therapy, speech therapy; spasticity management with botulinum toxin, baclofen, selective dorsal rhizotomy; orthopedic management of contractures and hip displacement; treatment of comorbidities	N	https://www.aap.org/en/patient-care/cerebral-palsy/																
Cervical Radiculopathy (General)	Adult with neck pain radiating to arm in dermatomal distribution; paresthesias and numbness; diminished reflexes (biceps for C6, triceps for C7); positive Spurling test	Mechanical compression and inflammation of cervical nerve root from herniated disc, foraminal stenosis, or hypertrophied facet joints; C6 and C7 most commonly affected	Affects adults; peak incidence 50 to 54 years; lifetime prevalence approximately 14 percent; male predominance	Neck pain radiating to shoulder and arm in dermatomal pattern; paresthesias; numbness; weakness; diminished deep tendon reflexes; positive Spurling test, shoulder abduction test, cervical traction test	Acute onset over days to weeks for disc herniation; insidious onset over months for degenerative stenosis	Rotator cuff pathology, shoulder impingement, brachial plexopathy, peripheral nerve entrapment, cervical myelopathy, thoracic outlet syndrome	Clinical diagnosis with provocative tests; magnetic resonance imaging for definitive diagnosis and surgical planning; electromyography and nerve conduction studies if diagnosis unclear	Conservative management for 4 to 6 weeks: activity modification, physical therapy, nonsteroidal anti-inflammatory drugs, neuropathic pain medications; epidural steroid injections; surgical decompression for progressive neurological deficit or refractory pain	N	https://www.uptodate.com/contents/cervical-radiculopathy																
Charcot Arthropathy	Patient over 40 years with diabetes and peripheral neuropathy presenting with warm, swollen, insensate foot after minimal trauma; rocker-bottom foot deformity	Repetitive microtrauma and abnormal neurovascular response in neuropathic limb causing progressive bone and joint destruction; uncoupling of bone remodeling with increased osteoclast activity	Most common in diabetic patients; typically presents in patients over 40 years; midfoot most commonly affected; also associated with neurosyphilis historically	Warm, swollen, erythematous foot or ankle with minimal to no pain despite severe joint destruction; joint instability; deformity develops if untreated; may have concomitant ulceration	Acute phase with warmth and swelling lasts months; consolidation phase follows; chronic deformity develops without treatment; average time to diagnosis 2 to 4 years	Osteomyelitis, cellulitis, deep venous thrombosis, gout, septic arthritis, stress fracture	Clinical diagnosis in patient with neuropathy and characteristic presentation; radiographs show bone resorption and fragmentation; MRI or CT if radiographs normal; elevated skin temperature compared to contralateral limb; normal or mildly elevated inflammatory markers distinguish from osteomyelitis	Immediate immobilization with total contact casting or boot until edema and warmth resolve; non-weight bearing initially; intranasal calcitonin salmon as adjunctive therapy; surgery for severe instability or deformity; bisphosphonates off-label	Y	https://www.aafp.org/pubs/afp/issues/2018/0501/p594.html																
Chondrosarcoma	Middle-aged to older adult with dull, aching bone pain and palpable mass; "ring and arc" calcifications on radiograph	Malignant bone tumor with hyaline cartilage differentiation; conventional type has isocitrate dehydrogenase 1 or 2 mutations; arises de novo or secondary to enchondroma or osteochondroma	Second most common primary malignant bone tumor; incidence 0.5 per 100,000 patient-years; peak age 40-70 years; slight male predominance	Persistent dull, aching pain for months to years; palpable mass; bone expansion with cortical thickening; most common sites are pelvis, femur, humerus, ribs; symptoms vary by location	Slow-growing over months to years; grade 1 rarely metastasizes with greater than 80% 10-year survival; grade 3 has greater than 50% lung metastasis rate with less than 30% 10-year survival	Enchondroma, osteochondroma, osteosarcoma, chordoma, bone metastases, fibrous dysplasia	Radiographs show bone expansion, radiolucent areas with ring-like or punctate calcifications, endosteal scalloping; magnetic resonance imaging delineates extent; computed tomography for pelvis and flat bones; biopsy required for diagnosis and grading	Wide en-bloc surgical resection with negative margins for high-grade; intralesional curettage with adjuvants for low-grade; radiation therapy greater than 60 gray for unresectable tumors; conventional chondrosarcoma resistant to chemotherapy; ivosidenib for isocitrate dehydrogenase 1 mutations	N	https://www.nccn.org/professionals/physician_gls/pdf/bone.pdf																
Chronic Exertional Compartment Syndrome	Young athlete or military recruit with reproducible leg pain, tightness, and cramping during running that resolves with rest; anterior compartment most common	Increased intracompartmental pressure during exercise from venous outflow obstruction due to functional muscular compression; leads to compromised tissue perfusion and ischemic pain	Young athletic individuals aged 20 to 30 years; military personnel and runners at higher risk; anterior and lateral compartments of lower leg most commonly affected	Pain, tightness, cramping, weakness, paresthesias in affected compartment during exertion; symptoms reproducible at same exercise intensity; resolve within minutes to hours of rest; muscle herniation may be palpable	Chronic condition with symptoms occurring predictably during exercise; no permanent tissue damage if activity ceased; symptoms recur with return to activity	Medial tibial stress syndrome, stress fracture, popliteal artery entrapment, nerve entrapment, muscle strain, deep venous thrombosis	Clinical diagnosis based on history and physical exam; intracompartmental pressure measurement during and after exercise confirms diagnosis; Pedowitz criteria 30 mm Hg at 1 minute or 20 mm Hg at 5 minutes post-exercise; newer criteria suggest 105 mm Hg during exercise; MRI and near-infrared spectroscopy may aid diagnosis	Conservative management with activity modification, gait retraining, or botulinum toxin injection; fasciotomy for patients failing conservative treatment or unable to modify activity; success rates 48 to 94 percent with surgery	N	https://www.aafp.org/pubs/afp/issues/2012/0215/p367.html																
