Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Carotid Dissection	Young patient with unilateral headache, neck pain, and Horner syndrome (ptosis, miosis, anhidrosis) followed by stroke; history of minor neck trauma or chiropractic manipulation; "beauty parlor stroke"	Intimal tear or rupture of vasa vasorum leads to intramural hematoma formation in arterial wall; subintimal dissection causes stenosis while subadventitial dissection causes aneurysmal degeneration; typically occurs 2 centimeters distal to carotid bifurcation; stroke occurs via artery-to-artery thromboembolism from intraluminal thrombus or arterial occlusion	Accounts for 2 percent of all ischemic strokes but up to 25 percent of strokes in adults under 50 years; incidence 2.6 to 3.0 per 100,000 people; mean age at diagnosis 45 years; slightly more common in men; associated with connective tissue disorders (Ehlers-Danlos type 4, Marfan syndrome), fibromuscular dysplasia (15 percent association), recent infection, minor trauma	Unilateral headache (65 percent, temporal or frontal), neck pain (50 percent), partial Horner syndrome (25 percent), pulsatile tinnitus (8 percent), cranial nerve palsies (12 percent, especially hypoglossal); followed by focal neurological deficits (hemiparesis, aphasia, visual disturbances) in 50 to 95 percent; may present with isolated pain without ischemia (8 to 12 percent)	Pain and local symptoms typically precede cerebral ischemia by hours to days; stroke risk highest in first few weeks; recurrent dissection rare (less than 2 percent at 3 months); most patients have favorable prognosis with treatment	Large vessel atherosclerotic stroke, cardioembolic stroke, migraine with aura, cluster headache, temporal arteritis, fibromuscular dysplasia, intracranial aneurysm, vertebral artery dissection	CT angiography or MR angiography of head and neck (preferred initial tests); imaging hallmarks include intimal flap, intramural hematoma, double lumen, dissecting aneurysm, tapering stenosis or occlusion; MRI with fat-suppressed T1-weighted images shows crescent-shaped intramural hematoma; carotid ultrasound not recommended as initial test due to limited sensitivity; digital subtraction angiography reserved for atypical cases	Intravenous alteplase and endovascular thrombectomy if eligible for acute stroke; antithrombotic therapy for 3 to 6 months (either anticoagulation or antiplatelet therapy, choice individualized based on bleeding risk and high-risk features); anticoagulation preferred for severe stenosis, occlusion, or intraluminal thrombus in low bleeding risk patients; antiplatelet therapy for patients with hemorrhagic transformation or high bleeding risk; avoid chiropractic neck manipulation;endovascular or surgical intervention reserved for refractory cases	Y	https://www.uptodate.com/contents/spontaneous-dissection-of-the-carotid-and-vertebral-arteries																
Cavernous Sinus Thrombosis	Fever, headache, and bilateral progressive ophthalmoplegia with periorbital edema following facial infection or sinusitis; "painful eye with cranial nerve six palsy"	Septic thrombophlebitis of cavernous sinus from spread of infection (most commonly sinusitis or facial infection); Staphylococcus aureus most common pathogen; thrombosis obstructs venous drainage and affects cranial nerves three, four, five (ophthalmic and maxillary divisions), and six within sinus	Rare condition; most common antecedent is sinusitis or facial infection several days prior; other causes include maxillofacial trauma, surgery, thrombophilia, dehydration	Fever, severe headache, periorbital edema, chemosis, ptosis, ophthalmoplegia (cranial nerve six affected first causing lateral rectus palsy, then cranial nerves three and four), vision changes; bilateral involvement in 70 percent of cases; may have altered mental status, seizures	Progressive over days; initially unilateral then becomes bilateral within 24 to 48 hours	Orbital cellulitis, orbital abscess, cerebral venous thrombosis, meningitis, brain abscess, septic emboli	Computed tomography head and orbits with intravenous contrast delayed phase imaging; magnetic resonance venography has highest sensitivity; blood cultures positive in up to 70 percent; elevated inflammatory markers	Broad-spectrum intravenous antibiotics (vancomycin plus third or fourth generation cephalosporin or carbapenem); anticoagulation with heparin; neurosurgery and infectious disease consultation; may require surgical drainage of source	Y	https://www.uptodate.com/contents/cavernous-sinus-thrombosis																
Central Cord Syndrome	Elderly patient with hyperextension neck injury after fall presenting with upper extremity weakness greater than lower extremity weakness; "arms worse than legs"	Injury to central gray matter and crossing spinothalamic fibers in cervical spinal cord; lateral corticospinal tract fibers to upper extremities are more centrally located than those to lower extremities; often occurs with underlying cervical spondylosis	Most common incomplete spinal cord injury syndrome; typically affects older adults with degenerative cervical spine disease; younger patients may have fracture-dislocation or disc herniation	Upper extremity weakness (especially hands) greater than lower extremity weakness; variable sensory loss with suspended sensory level possible; bladder dysfunction (usually urinary retention) may occur; tendon reflexes lost at lesion level	Acute onset with trauma; may improve over weeks to months with rehabilitation	Anterior cord syndrome, Brown-Séquard syndrome, complete spinal cord injury, cervical disc herniation, epidural hematoma	Magnetic resonance imaging of cervical spine shows central cord signal abnormality (T2 hyperintensity); computed tomography to evaluate for fractures; neurological examination documenting motor and sensory levels	Acute: high-dose methylprednisolone controversial; surgical decompression timing debated (early versus delayed); Rehabilitation: physical and occupational therapy; Prognosis: generally favorable with lower extremity recovery better than upper extremity	Y	https://www.uptodate.com/contents/traumatic-spinal-cord-injury																
Cerebral Amyloid Angiopathy	Elderly patient with multiple lobar microbleeds on MRI, cognitive decline, and cortical superficial siderosis; may be asymptomatic or present with transient focal neurological episodes	Beta-amyloid deposition in walls of cortical and leptomeningeal small and medium-sized arteries and arterioles; progresses through stages: initial vascular amyloid deposition, alteration of cerebrovascular physiology, non-hemorrhagic brain injury, hemorrhagic lesions	Common age-related small vessel pathology; prevalence increases with age; present in 10 to 40 percent of elderly individuals at autopsy; more common in patients with Alzheimer disease	May be asymptomatic; cognitive impairment or dementia; transient focal neurological episodes (amyloid spells); lobar intracerebral hemorrhage; convexity subarachnoid hemorrhage	Develops over two to three decades; progression from subclinical pathology to clinical manifestation occurs in sequential stages; once symptomatic hemorrhage occurs, high risk of recurrence	Hypertensive small vessel disease, other causes of cognitive impairment, primary central nervous system vasculitis, reversible cerebral vasoconstriction syndrome	Boston Criteria version 2.0: probable diagnosis requires age 50 years or older with at least two strictly lobar hemorrhagic lesions on MRI (intracerebral hemorrhage, cerebral microbleeds, cortical superficial siderosis, convexity subarachnoid hemorrhage) or one lobar hemorrhagic lesion plus white matter features; definite diagnosis requires pathological confirmation	No disease-modifying treatment currently available; strict blood pressure control; avoidance of anticoagulation and antiplatelet agents when possible; management of cognitive symptoms; fall precautions; treatment of acute hemorrhage when occurs	N	https://www.uptodate.com/contents/cerebral-amyloid-angiopathy-pathogenesis-clinical-manifestations-and-diagnosis																
Charcot-Bouchard Microaneurysms	Elderly patient with long-standing hypertension presenting with deep intracerebral hemorrhage	Small aneurysmal dilations (50 to 900 micrometers) of penetrating arteries in basal ganglia and brainstem; result from chronic hypertensive damage causing vessel wall weakening; represent manifestation of severe cerebral small vessel disease	Rare finding; predominantly seen in elderly individuals with multiple cerebrovascular comorbidities including hypertension and cerebral amyloid angiopathy; found in less than 0.5 percent of routine autopsies	Usually asymptomatic until rupture; when symptomatic, presents with features of deep intracerebral hemorrhage or microhemorrhage; may have associated microinfarcts in vicinity	Develop over years to decades of chronic hypertension; rupture leads to acute hemorrhage	Hypertensive arteriopathy without aneurysm formation, cerebral amyloid angiopathy, other small vessel diseases	Histopathological diagnosis on autopsy or surgical specimen; not visible on standard neuroimaging; MRI may show associated microhemorrhages or microinfarcts in basal ganglia	Management focuses on controlling underlying hypertension and cerebrovascular risk factors; no specific treatment for microaneurysms themselves; treatment of resulting hemorrhage follows standard intracerebral hemorrhage protocols	N	https://www.ncbi.nlm.nih.gov/books/NBK470174/																
Charcot-Marie-Tooth Disease	Child or young adult with distal leg weakness, foot drop, high arches (pes cavus), and hammer toes; "stork legs" or "inverted champagne bottle legs"	Heterogeneous group of inherited peripheral neuropathies; most common type 1A due to duplication of peripheral myelin protein 22 gene causing demyelination; type 2 involves axonal degeneration; affects motor and sensory nerves	Most common inherited neuropathy; prevalence 1 in 2500; type 1A (demyelinating) most common subtype (70 percent); autosomal dominant inheritance most common; onset typically childhood to young adulthood	Distal leg weakness and atrophy (foot drop, steppage gait), pes cavus, hammer toes, distal sensory loss (glove-and-stocking), absent ankle reflexes, hand weakness and atrophy in later stages; slowly progressive; minimal pain; normal life expectancy	Onset typically first or second decade; slowly progressive over decades; wheelchair dependence rare except in severe forms	Hereditary neuropathy with liability to pressure palsies, distal spinal muscular atrophy, chronic inflammatory demyelinating polyneuropathy, other hereditary neuropathies, muscular dystrophy	Nerve conduction studies: type 1 (demyelinating) shows uniform slowing (median motor nerve conduction velocity less than 38 meters per second); type 2 (axonal) shows reduced amplitudes with normal velocities; genetic testing confirms diagnosis; nerve biopsy shows onion bulb formation in type 1	No cure; ankle-foot orthoses for foot drop; physical therapy to maintain strength and range of motion; occupational therapy; surgical correction of foot deformities; pain management if needed; genetic counseling	N	https://www.uptodate.com/contents/charcot-marie-tooth-disease-and-related-disorders																
Claude Syndrome	Ipsilateral third nerve palsy with contralateral ataxia; "red nucleus without tremor" (compared to Benedikt)	Ventromedial midbrain lesion affecting oculomotor nerve nucleus or fascicles and red nucleus or superior cerebellar peduncle; most commonly due to ischemic stroke from posterior cerebral artery or basilar perforating branches; also neurocysticercosis, neuro-Behcet disease	Very rare; more common in adults but pediatric cases reported; vascular etiology predominates in adults	Ipsilateral: third nerve palsy (ptosis, mydriasis, impaired adduction, elevation, and depression of eye); Contralateral: hemiataxia, dysmetria, intention tremor less prominent than Benedikt syndrome	Acute onset with stroke (minutes to hours); subacute with infectious or inflammatory causes (days to weeks)	Benedikt syndrome, Weber syndrome, other brainstem strokes, multiple sclerosis, neurocysticercosis, neuro-Behcet disease	Magnetic resonance imaging shows ventromedial midbrain infarction; magnetic resonance angiography for vascular assessment; cerebrospinal fluid analysis if infectious or inflammatory etiology suspected; serology for Behcet disease or neurocysticercosis if indicated	Acute stroke: thrombolysis or thrombectomy if eligible; secondary prevention with antiplatelet or anticoagulation; treat underlying cause: albendazole and steroids for neurocysticercosis, immunosuppression for neuro-Behcet; physical therapy for ataxia	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
Communicating Hydrocephalus	Elderly patient with gait disturbance, urinary incontinence, and dementia; "wet, wobbly, and wacky" triad; ventriculomegaly out of proportion to atrophy	Impaired cerebrospinal fluid absorption at arachnoid granulations; no obstruction within ventricular system; glymphatic dysfunction and neuroinflammation contribute; can result from prior hemorrhage, infection, or be idiopathic	Prevalence approximately 85 per 100,000 globally in adults; idiopathic normal pressure hydrocephalus affects elderly population; post-hemorrhagic and post-infectious forms occur across age groups	Gait disturbance with magnetic or shuffling gait, urinary incontinence, cognitive impairment or dementia, headache; Evans ratio greater than 0.3; disproportionately enlarged subarachnoid space hydrocephalus pattern on imaging	Chronic progressive course over months to years in idiopathic normal pressure hydrocephalus; subacute in secondary forms following hemorrhage or infection	Obstructive hydrocephalus, Alzheimer disease, Parkinson disease, vascular dementia, brain atrophy with aging	Magnetic resonance imaging or computed tomography showing ventriculomegaly with Evans ratio greater than 0.3, callosal angle less than 90 degrees, sulcal effacement at vertex; lumbar puncture safe with normal opening pressure; high volume tap or external lumbar drain trial may predict shunt responsiveness	Ventriculoperitoneal shunt with programmable valve; ventriculoatrial shunt if peritoneum unavailable; lumbar-peritoneal shunt in select cases; treat underlying cause if secondary	N	https://www.uptodate.com/contents/idiopathic-normal-pressure-hydrocephalus																
Congenital Insensitivity to Pain	Child with recurrent injuries, burns, fractures, and self-mutilation without pain perception; normal intelligence and other sensory modalities	Autosomal recessive loss-of-function mutation in sodium voltage-gated channel alpha subunit 9 gene; complete loss of channel function prevents action potential generation in nociceptive neurons; pain sensation absent while other sensory modalities preserved	Extremely rare; fewer than 100 cases reported worldwide; onset from birth; equal gender distribution	Complete absence of pain perception from birth; recurrent unnoticed injuries, burns, fractures, joint damage; self-mutilation (tongue biting, finger biting); corneal scarring from eye trauma; normal touch, temperature discrimination, proprioception; normal intelligence; anhidrosis common	Present from birth; lifelong; progressive joint destruction and complications from repeated trauma	Hereditary sensory and autonomic neuropathy types, congenital indifference to pain (central processing disorder), leprosy, syringomyelia, familial dysautonomia	Genetic testing showing homozygous or compound heterozygous loss-of-function mutations in sodium voltage-gated channel alpha subunit 9; nerve biopsy shows absence of small unmyelinated C fibers; quantitative sensory testing confirms absent pain perception; normal nerve conduction studies for large fibers	No cure; preventive measures: protective equipment, environmental modifications, frequent examinations for injuries; patient and family education; treatment of injuries and infections; orthopedic management of joint damage; psychological support	N	https://www.uptodate.com/contents/hereditary-sensory-and-autonomic-neuropathies																
Cytotoxic Edema	Intracellular swelling after ischemic stroke, trauma, or metabolic insult; restricted diffusion on magnetic resonance imaging	Energy failure leads to sodium-potassium-ATPase pump dysfunction; sodium influx followed by chloride entry via SLC26A11 channel; resultant sodium chloride and water accumulation causes neuronal and glial swelling	Occurs in cerebral ischemia, traumatic brain injury, intoxications, metabolic disorders, and hyponatremia	Altered mental status, seizures, focal neurologic deficits; symptoms reflect underlying brain injury and increased intracranial pressure	Develops within minutes to hours after initial insult; can progress rapidly	Vasogenic edema, hemorrhage, mass effect from other causes	Magnetic resonance imaging with diffusion-weighted imaging shows restricted diffusion and decreased apparent diffusion coefficient; computed tomography shows loss of gray-white differentiation	Treat underlying cause; osmotic therapy with hypertonic saline or mannitol for elevated intracranial pressure; avoid hypotonic fluids; maintain adequate cerebral perfusion pressure	Y	https://www.uptodate.com/contents/cerebral-edema																
DiGeorge Syndrome	Newborn with congenital heart disease, hypocalcemic seizures, and recurrent infections	Microdeletion of chromosome 22q11.2 (most common) or 10p; haploinsufficiency of TBX1 and other genes affects pharyngeal pouch development	1 in 2,000 to 4,000 live births; most cases de novo deletions	Cardiac malformations (conotruncal defects), thymic hypoplasia or aplasia with T-cell immunodeficiency, hypoparathyroidism with hypocalcemia, velopharyngeal insufficiency, characteristic facies, renal anomalies (30 percent), neurodevelopmental delays, psychiatric disorders	Congenital; immunodeficiency and hypocalcemia manifest in infancy; psychiatric manifestations emerge later in life	CHARGE syndrome, VACTERL association, other 22q11.2 deletion syndromes, isolated conotruncal cardiac defects	Fluorescence in situ hybridization or chromosomal microarray for 22q11.2 deletion; flow cytometry for T-cell counts; calcium and parathyroid hormone levels; echocardiography; renal ultrasound	Calcium and vitamin D supplementation for hypoparathyroidism; cardiac surgery as needed; immunoglobulin replacement if significant antibody deficiency; live vaccines contraindicated if severe T-cell deficiency; thymus transplantation in complete DiGeorge	Y	https://www.ncbi.nlm.nih.gov/books/NBK1523/																
