Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Immunoglobulin A Deficiency	Asymptomatic individual found to have low IgA on routine testing; or patient with recurrent sinopulmonary infections, allergies, autoimmune disease; "most common primary immunodeficiency, often asymptomatic"	Defect in terminal B-cell differentiation leading to failure of IgA class switching; exact pathogenesis unknown but involves defects in B-cell development, class switch recombination, and plasma cell survival; normal IgA genes present	Most common primary immunodeficiency; prevalence 1 in 500 in Caucasians; rare in Asian populations; may be partial or complete	Most individuals asymptomatic (85 to 90%); symptomatic patients have recurrent sinopulmonary infections, gastrointestinal infections (especially Giardia), allergies, autoimmune diseases (especially celiac disease), anaphylactic reactions to blood products containing IgA	Can be transient in children; most cases persist lifelong; may progress to common variable immunodeficiency in some patients	Common variable immunodeficiency, IgG subclass deficiency, transient hypogammaglobulinemia of infancy, secondary causes of low IgA	Serum IgA less than 7 mg per dL (less than 0.07 g per L) with normal IgG and IgM; normal specific antibody responses; exclude secondary causes; test for anti-IgA antibodies if transfusion needed; screen for celiac disease with IgG-based tests	No specific treatment for asymptomatic patients; antibiotics for infections; avoid IgA-containing blood products if anti-IgA antibodies present (use washed red blood cells, IgA-deficient products); immunoglobulin replacement not indicated unless IgG subclass deficiency or specific antibody deficiency present	N	https://www.ncbi.nlm.nih.gov/books/NBK1476/																
Kartagener Syndrome	Child with chronic sinusitis, bronchiectasis, and situs inversus; recurrent respiratory infections since birth; "sinusitis, bronchiectasis, organs on wrong side"	Autosomal recessive subtype of primary ciliary dyskinesia; mutations in genes encoding dynein arm proteins (most commonly DNAH5); defective ciliary motility causes impaired mucociliary clearance and randomized left-right body asymmetry	1 in 15,000 to 1 in 30,000 live births; accounts for approximately 50% of primary ciliary dyskinesia cases	Situs inversus totalis (50% of primary ciliary dyskinesia patients), chronic sinusitis, recurrent otitis media with conductive hearing loss, bronchiectasis, chronic productive cough, neonatal respiratory distress, male infertility due to immotile sperm, female subfertility due to impaired fallopian tube function	Neonatal respiratory distress at birth; chronic respiratory symptoms throughout life; progressive bronchiectasis if untreated; infertility becomes apparent in adulthood	Cystic fibrosis, immunodeficiency disorders, other causes of bronchiectasis, isolated situs inversus	Low nasal nitric oxide (less than 77 nanoliters per minute); transmission electron microscopy of respiratory cilia showing absent or defective dynein arms; genetic testing for ciliary genes; chest CT showing bronchiectasis; sinus CT; echocardiogram or chest radiograph to confirm situs inversus	Aggressive airway clearance with chest physiotherapy, mucolytics, bronchodilators; prompt treatment of respiratory infections with antibiotics; annual influenza vaccination; hearing assessment and management; fertility counseling; no curative treatment available	N	https://www.ncbi.nlm.nih.gov/books/NBK1122/																
Klinefelter Syndrome (XXY)	Tall male with small firm testes, gynecomastia, infertility; "tall, small testes, can't have kids"	Extra X chromosome (47,XXY in 90%, mosaic 46,XY/47,XXY in 10%); genes escaping X-inactivation cause developmental disruption; primary testicular insufficiency with reduced testosterone production	1 in 500 to 1 in 660 males; most common sex chromosome disorder in males; 75% remain undiagnosed	Small firm testes (less than 2 cm), tall stature (2-3 inches above family average), gynecomastia, decreased facial/body hair, infertility, learning disabilities (especially language-based), mild developmental delays, increased risk of metabolic syndrome, type 2 diabetes, osteoporosis, breast cancer	Congenital but often diagnosed late; mean age of diagnosis in mid-30s; hypogonadism becomes apparent during puberty; progressive bone loss and metabolic complications if untreated	Kallmann syndrome, constitutional delay of puberty, other causes of hypogonadism, tall stature syndromes	Karyotype showing 47,XXY; elevated follicle-stimulating hormone and luteinizing hormone; low to low-normal testosterone; azoospermia on semen analysis	Testosterone replacement therapy starting at puberty to induce secondary sexual characteristics and maintain bone density; fertility preservation with testicular sperm extraction if desired; multidisciplinary care including speech therapy, educational support, psychological counseling	N	https://www.ncbi.nlm.nih.gov/books/NBK1334/																
Lactose Intolerance	Adult with abdominal pain, bloating, diarrhea 30 minutes to 2 hours after consuming dairy products; symptoms resolve with lactose avoidance	Primary: genetically programmed decline in lactase enzyme production after weaning (lactase nonpersistence); C to T polymorphism at LCT minus 13,910 locus determines lactase persistence in Caucasians; Secondary: small bowel mucosal damage from infection, celiac disease, inflammatory bowel disease	Worldwide prevalence 57 to 65%; varies by ethnicity (higher in Asian, African, Hispanic populations; lower in Northern European descent); lactase persistence is dominant trait in populations with dairy farming history	Abdominal pain, bloating, flatulence, nausea, diarrhea beginning 30 minutes to 2 hours after lactose ingestion; symptoms dose-dependent; many retain partial lactase activity and tolerate fermented dairy (cheese, yogurt) better than fresh milk	Congenital lactase deficiency: severe diarrhea from birth; Primary lactase nonpersistence: gradual onset in childhood to adulthood; Secondary: develops after intestinal injury and may be reversible	Irritable bowel syndrome, celiac disease, inflammatory bowel disease, small intestinal bacterial overgrowth, other carbohydrate malabsorption syndromes	Hydrogen breath test (most common): elevated breath hydrogen after lactose load; Genetic testing for LCT C to T minus 13,910 polymorphism; Lactose tolerance test: flat glucose curve after lactose load; Small bowel biopsy with lactase assay (rarely needed)	Lactose-reduced or lactose-free diet; lactase enzyme supplementation before dairy consumption; gradual reintroduction to determine tolerance threshold; calcium and vitamin D supplementation to prevent deficiency; probiotics may help some patients	N	https://www.ncbi.nlm.nih.gov/books/NBK532285/																
Laurin-Sandrow Syndrome	Newborn with mirror image polydactyly of feet, polysyndactyly of hands, nasal groove or hypoplastic nose	Autosomal dominant disorder caused by microduplications (less than 80 kb) encompassing the Sonic Hedgehog limb enhancer ZRS on chromosome 7q36; ectopic SHH expression during limb development	Extremely rare; only approximately 14 cases reported in literature	Symmetric polysyndactyly of hands (cup-shaped hands, absent thumbs), mirror image polydactyly of feet with duplication of fibula, nasal anomalies (grooved columella, hypoplastic nasal skeleton, anterior nasal stenosis), loss of identity between tibia and fibula, hypertelorism	Congenital malformations present at birth; may require early surgical intervention for nasal airway obstruction	Haas-type polysyndactyly (larger ZRS duplications greater than 80 kb), isolated polydactyly, other limb malformation syndromes	Clinical diagnosis based on characteristic limb and nasal findings, radiographs showing duplicated fibula and abnormal metacarpals/metatarsals, genetic testing for ZRS region microduplications on chromosome 7q36	Surgical correction of limb deformities and polydactyly, early surgical intervention for nasal stenosis if causing respiratory compromise, multidisciplinary management	N	https://pubmed.ncbi.nlm.nih.gov/24456159/																
Maple Syrup Urine Disease	Newborn with poor feeding, vomiting, lethargy, sweet maple syrup odor of urine and cerumen, opisthotonus, seizures; "sweet-smelling baby with encephalopathy"	Autosomal recessive deficiency of branched-chain alpha-ketoacid dehydrogenase complex; inability to decarboxylate branched-chain alpha-ketoacids leads to accumulation of leucine, isoleucine, valine and their ketoacids; leucine and alpha-ketoisocaproic acid are neurotoxic	1 in 185,000 live births worldwide; higher in certain populations (Mennonites 1 in 380); classic form accounts for 75% of cases	Classic form: maple syrup odor, poor feeding, vomiting, lethargy, alternating hypertonia and hypotonia, opisthotonus, fencing and bicycling movements, seizures, cerebral edema, coma; intermediate and intermittent forms have milder symptoms with episodic decompensations	Classic form presents in first week of life; fatal by weeks to months without treatment; intermediate form presents variably in infancy; intermittent form has normal development with episodic crises triggered by illness or increased protein intake	Other organic acidemias, urea cycle disorders, sepsis, hypoglycemia, other causes of neonatal encephalopathy	Newborn screening showing elevated leucine; plasma amino acids showing elevated branched-chain amino acids with alloisoleucine (pathognomonic); urine organic acids showing branched-chain ketoacids; genetic testing for BCKDHA, BCKDHB, DBT genes	Acute crisis: restrict protein, provide high-calorie glucose, hemodialysis or hemofiltration if severe; Long-term: lifelong branched-chain amino acid-restricted diet with leucine-free formula, frequent monitoring of plasma leucine; liver transplantation curative in select cases; thiamine supplementation for responsive variants	Y	https://www.ncbi.nlm.nih.gov/books/NBK1319/																
McArdle Disease (Glycogen Storage Disease Type V)	Young adult with exercise intolerance, second wind phenomenon, myoglobinuria after intense exercise; "can't break down muscle glycogen, gets second wind"	Autosomal recessive deficiency of muscle glycogen phosphorylase (myophosphorylase, PYGM); inability to break down glycogen in skeletal muscle for energy during exercise; glycolysis partially preserved via circulating glucose uptake	1 in 100,000 to 1 in 140,000; more common in certain populations (Spain, Italy, United States)	Exercise intolerance with muscle fatigue and pain during first few minutes of activity, second wind phenomenon (improved exercise tolerance after 10 minutes due to increased blood flow and glucose/fatty acid utilization), myoglobinuria after intense exercise, risk of acute rhabdomyolysis and renal failure, fixed muscle weakness in some patients, elevated baseline creatine kinase	Symptoms typically begin in childhood or adolescence but often diagnosed in 20s-30s; chronic progressive course with episodes of acute rhabdomyolysis	Other glycogen storage diseases (especially Type VII), metabolic myopathies, mitochondrial myopathies, muscular dystrophies	Markedly elevated creatine kinase (10-100 times normal at baseline); ischemic forearm exercise test showing no rise in lactate with exaggerated ammonia rise (non-ischemic preferred); muscle biopsy showing subsarcolemmal glycogen accumulation and absent myophosphorylase staining; genetic testing for PYGM mutations	Avoid intense anaerobic exercise and isometric muscle contractions; aerobic exercise training with gradual warm-up; oral sucrose 5-10 minutes before exercise may help; high-protein diet; creatine supplementation may be beneficial; aggressive hydration during rhabdomyolysis episodes; no curative treatment available	N	https://www.ncbi.nlm.nih.gov/books/NBK1344/																
Medium-Chain Acyl-CoA Dehydrogenase Deficiency	Infant or toddler with hypoketotic hypoglycemia, vomiting, lethargy during illness or fasting; identified on newborn screening; "most common fatty acid oxidation defect, avoid fasting, give glucose"	Autosomal recessive deficiency of medium-chain acyl-CoA dehydrogenase enzyme (ACADM gene); impaired beta-oxidation of medium-chain fatty acids (C6 to C12); inability to produce ketones during fasting leads to hypoketotic hypoglycemia and accumulation of toxic metabolites	1 in 13,000 to 1 in 19,000 in United States; most common fatty acid oxidation disorder; common mutation K329E accounts for 60 to 80% of mutant alleles in Northern Europeans	Hypoketotic hypoglycemia, vomiting, lethargy, hepatomegaly, seizures, encephalopathy triggered by fasting or illness; sudden infant death in 20% of undiagnosed cases; Reye-like syndrome; most asymptomatic between episodes if well-managed	Classic presentation between 2 months and 2 years of age; can present in neonatal period or later childhood; symptoms triggered by illness, fasting, weaning from nighttime feeds; preventable with appropriate management	Other fatty acid oxidation defects, glycogen storage diseases, organic acidemias, Reye syndrome, sepsis, other causes of hypoglycemia	Newborn screening: elevated C8 acylcarnitine, elevated C8 divided by C10 ratio; plasma acylcarnitine profile showing elevated C6, C8, C10, C10:1; urine organic acids showing dicarboxylic aciduria, hexanoylglycine; genetic testing for ACADM mutations; normal or low ketones with hypoglycemia	Avoid fasting: frequent meals, nighttime snacks or feeds for infants; Acute illness: high-carbohydrate intake every 2 hours, intravenous dextrose (10% at 1.5 times maintenance) if unable to tolerate oral intake; emergency protocols and MedicAlert bracelet; carnitine supplementation controversial; excellent prognosis with proper management	Y	https://www.ncbi.nlm.nih.gov/books/NBK1424/																
Methylmalonic Aciduria	Newborn or infant with vomiting, lethargy, hypotonia, failure to thrive, metabolic acidosis, hyperammonemia; some forms responsive to vitamin B12; "organic acidemia with metabolic strokes"	Autosomal recessive disorder caused by deficiency of methylmalonyl-CoA mutase or defects in cobalamin metabolism; inability to convert methylmalonyl-CoA to succinyl-CoA leads to accumulation of methylmalonic acid and propionic acid metabolites	1 in 50,000 to 100,000 live births; genetically heterogeneous with mutations in MMUT, MMAA, MMAB, MMADHC, MCEE genes	Acute: vomiting, dehydration, hypotonia, lethargy, metabolic acidosis, hyperammonemia, ketosis; Chronic: failure to thrive, developmental delay, feeding difficulties, hepatomegaly, metabolic strokes (basal ganglia injury), chronic kidney disease, pancreatitis, cardiomyopathy, optic atrophy	Presents in neonatal period or early infancy (classic forms); cobalamin-responsive forms may present later with milder symptoms; progressive complications include renal failure and neurologic deterioration	Propionic acidemia, other organic acidemias, urea cycle disorders, mitochondrial disorders, sepsis	Elevated methylmalonic acid in urine and plasma; elevated propionylcarnitine on acylcarnitine profile; metabolic acidosis with anion gap, hyperammonemia, hyperglycinemia; genetic testing; trial of vitamin B12 (hydroxocobalamin or cyanocobalamin) to identify responsive forms	Acute: restrict protein, high-calorie glucose, treat hyperammonemia, correct acidosis; Long-term: protein-restricted diet, carnitine supplementation, metronidazole to reduce gut propionate production; hydroxocobalamin or cyanocobalamin for responsive forms; liver or combined liver-kidney transplantation for severe cases	Y	https://www.ncbi.nlm.nih.gov/books/NBK1231/																
MUTYH Associated Polyposis	Adult with 10-100 colorectal adenomas, autosomal recessive inheritance pattern, parents unaffected	Autosomal recessive disorder caused by biallelic pathogenic variants in MUTYH gene encoding base excision repair glycosylase; defective repair of oxidative DNA damage leads to somatic KRAS-G12C mutations and adenoma formation	1 in 20,000 to 1 in 60,000 individuals; heterozygote carrier frequency approximately 1-2% of general population	10-100 colorectal adenomas (can be fewer), colorectal cancer at median age greater than 50 years, right-sided colon predominance, duodenal adenomas (17-34%), may meet criteria for serrated polyposis syndrome	Adenomas typically develop in adulthood; colorectal cancer mean age 47-48 years (range 29-72 years); accelerated adenoma-carcinoma progression	Familial adenomatous polyposis, attenuated FAP, Lynch syndrome, serrated polyposis syndrome	Genetic testing for biallelic MUTYH mutations (common variants Y179C and G396D in Europeans), colonoscopy showing adenomatous polyposis, tumor testing may show KRAS-G12C mutation	Colonoscopy every 1-2 years starting age 25-30 years, upper endoscopy every 3-5 years starting age 30-35 years, polypectomy when feasible, subtotal colectomy or total proctocolectomy if polyp burden unmanageable or cancer develops	N	https://www.nccn.org/professionals/physician_gls/pdf/genetics_colon.pdf																
Neural Tube Defects	Newborn with open spinal defect (meningomyelocele), elevated maternal serum alpha-fetoprotein in second trimester; preventable with periconceptional folic acid	Failure of neural tube closure during 3rd to 4th week of gestation (days 21 to 28 post-conception); multifactorial etiology including folate deficiency, genetic factors, maternal diabetes, hyperthermia, anticonvulsant medications (especially valproic acid), obesity	Global average 2 per 1000 births; United States 3.4 to 3.7 per 10,000 live births after folic acid fortification; higher in regions without food fortification (5.4 to 8.7 per 10,000); 214,000 to 322,000 affected pregnancies worldwide annually	Spina bifida: open spinal defect with lower limb paralysis, sensory loss, bowel/bladder dysfunction, hydrocephalus, orthopedic abnormalities; Anencephaly: absence of skull and brain (lethal); Encephalocele: brain herniation through skull defect with neurologic deficits	Congenital malformation present at birth; anencephaly is lethal in early infancy; spina bifida requires lifelong multidisciplinary care with variable neurologic outcomes	Isolated spinal dysraphism, sacrococcygeal teratoma, lipomyelomeningocele, amniotic band syndrome	Prenatal: elevated maternal serum alpha-fetoprotein at 15 to 20 weeks, ultrasound showing defect, amniocentesis with elevated alpha-fetoprotein and acetylcholinesterase; Postnatal: physical examination, MRI or CT of spine and brain	Prenatal: fetal surgery (before 26 weeks) may improve outcomes; Postnatal: surgical closure within 24 to 48 hours, ventriculoperitoneal shunt for hydrocephalus, multidisciplinary management of neurologic, orthopedic, urologic complications; Prevention: 400 to 800 micrograms folic acid daily for all women of reproductive age	Y	https://www.ncbi.nlm.nih.gov/books/NBK536959/																
Non-Classical Galactosemia	Infant or child with cataracts but milder systemic symptoms than classical galactosemia; may be asymptomatic	Galactokinase deficiency (Type II): autosomal recessive GALK1 mutations causing inability to phosphorylate galactose; galactose accumulates and converts to galactitol causing cataracts; UDP-galactose-4-epimerase deficiency (Type III): autosomal recessive GALE mutations with variable severity depending on residual enzyme activity	Galactokinase deficiency: rare, approximately 1 in 100,000; more common in certain populations (Romani); UDP-galactose-4-epimerase deficiency: very rare	Galactokinase deficiency: infantile cataracts (may be only manifestation), pseudotumor cerebri (rare); generally benign course without intellectual disability; UDP-galactose-4-epimerase deficiency: ranges from asymptomatic to severe with cataracts, hepatomegaly, developmental delay, hypotonia (severe generalized form)	Galactokinase deficiency: cataracts develop in infancy if untreated; UDP-galactose-4-epimerase deficiency: variable onset depending on severity (severe form presents in neonatal period, mild form may be asymptomatic)	Classical galactosemia, other causes of infantile cataracts (congenital infections, metabolic disorders), Duarte variant galactosemia	Newborn screening: elevated galactose with normal galactose-1-phosphate uridylyltransferase activity; Galactokinase deficiency: absent or low erythrocyte galactokinase activity, genetic testing for GALK1 mutations; UDP-galactose-4-epimerase deficiency: reduced erythrocyte UDP-galactose-4-epimerase activity, genetic testing for GALE mutations	Galactokinase deficiency: galactose-restricted diet prevents cataracts; UDP-galactose-4-epimerase deficiency: severe generalized form requires galactose restriction; peripheral form (limited to red blood cells) requires no treatment	N	https://www.ncbi.nlm.nih.gov/books/NBK1518/																
Phenylketonuria	Newborn identified on screening with elevated phenylalanine; if untreated, develops intellectual disability, musty odor, eczema, light pigmentation	Autosomal recessive deficiency of phenylalanine hydroxylase enzyme (or rarely tetrahydrobiopterin cofactor); inability to convert phenylalanine to tyrosine leads to toxic phenylalanine accumulation in brain	1 in 10,000 to 1 in 24,000 newborns; varies by ethnicity and geography	Untreated: severe intellectual disability, microcephaly, seizures, behavioral disorders, psychiatric symptoms, musty body odor, eczema, hypopigmentation of skin and hair; treated early: normal development with possible mild neurocognitive deficits	Detected by newborn screening; brain damage occurs if untreated in first weeks to months of life; lifelong dietary management required	Tetrahydrobiopterin deficiency, other aminoacidopathies, transient hyperphenylalanemia	Newborn screening showing elevated phenylalanine (greater than 120 micromol/L); confirmatory plasma amino acid analysis; genetic testing of PAH gene; tetrahydrobiopterin loading test to identify responders	Lifelong low-phenylalanine diet with phenylalanine-free amino acid supplements; maintain blood phenylalanine 120-360 micromol/L; sapropterin (tetrahydrobiopterin) for responsive patients; pegvaliase (enzyme substitution) for refractory cases; strict control essential during pregnancy	Y	https://www.ncbi.nlm.nih.gov/books/NBK1504/																
Prader-Willi Syndrome	Newborn with severe hypotonia and poor feeding; later develops insatiable appetite, obesity, short stature, hypogonadism, intellectual disability; "floppy baby who becomes food-obsessed"	Loss of paternally expressed imprinted genes at chromosome 15q11.2-q13; 65 to 75% paternal deletion, 20 to 30% maternal uniparental disomy 15, 1 to 3% imprinting defect; absence of SNORD116 gene reproduces many features; hypothalamic dysfunction	1 in 15,000 to 1 in 20,000 live births; equal sex distribution	Neonatal: severe hypotonia, poor suck, failure to thrive, genital hypoplasia; Childhood: hyperphagia beginning age 2 to 4 years, rapid weight gain, obesity, short stature, small hands and feet, characteristic facies, developmental delay, mild intellectual disability; Behavioral: temper outbursts, skin picking, obsessive-compulsive features, rigidity; Endocrine: growth hormone deficiency, hypogonadism, central hypothyroidism in 30%, type 2 diabetes in 25% of obese adults	Severe hypotonia and feeding difficulties in infancy; hyperphagia and obesity develop in early childhood (age 2 to 8 years); behavioral problems increase with age; lifelong condition with obesity and complications as major causes of morbidity and mortality	Congenital myopathies, other genetic syndromes with hypotonia, hypothalamic obesity syndromes, Bardet-Biedl syndrome	Parent-specific DNA methylation analysis detects over 99% of cases; additional genetic studies (FISH, chromosomal microarray, uniparental disomy testing) to determine molecular class; growth hormone stimulation testing; comprehensive endocrine evaluation	Multidisciplinary care: strict dietary control and supervised eating environment, regular exercise, growth hormone therapy (improves body composition, height, physical attributes), sex hormone replacement at puberty, treatment of sleep apnea, behavioral interventions, educational support; no approved pharmacologic treatment for hyperphagia (setmelanotide under investigation)	N	https://www.ncbi.nlm.nih.gov/books/NBK1330/																
Propionic Acidemia	Newborn with poor feeding, vomiting, lethargy, hypotonia, metabolic acidosis, hyperammonemia, ketosis; "propionyl-CoA carboxylase deficiency with ketotic hyperglycinemia"	Autosomal recessive deficiency of propionyl-CoA carboxylase enzyme; inability to convert propionyl-CoA to methylmalonyl-CoA leads to accumulation of propionic acid and toxic metabolites	1 in 100,000 to 150,000 live births; caused by mutations in PCCA or PCCB genes; most common variants in Chinese population are c.2002G greater than A in PCCA and c.1301C greater than T in PCCB	Acute: poor feeding, vomiting, lethargy, hypotonia, metabolic acidosis, hyperammonemia, ketosis; Chronic: intellectual disability, developmental delay, seizures, movement disorders, cardiomyopathy, cardiac arrhythmias, pancreatitis, optic atrophy, hearing loss, chronic kidney disease, immunodeficiency	Presents in neonatal period (70%) or later in infancy to childhood; episodic metabolic crises triggered by illness, fasting, or increased protein intake; progressive multiorgan complications	Methylmalonic acidemia, other organic acidemias, urea cycle disorders, mitochondrial disorders, fatty acid oxidation defects	Elevated propionylcarnitine on acylcarnitine profile; urine organic acids showing 3-hydroxypropionate, methylcitrate, propionylglycine; metabolic acidosis with anion gap, hyperammonemia, hyperglycinemia, ketosis; genetic testing for PCCA and PCCB mutations	Acute: restrict protein, high-calorie glucose, treat hyperammonemia and acidosis, carnitine supplementation; Long-term: protein-restricted diet, carnitine, metronidazole; liver transplantation from living donor for severe metabolic phenotype or end-organ dysfunction; multidisciplinary care for complications	Y	https://www.ncbi.nlm.nih.gov/books/NBK92946/																
Severe Combined Immunodeficiency	Newborn with failure to thrive, chronic diarrhea, oral thrush, severe infections, absent thymic shadow on chest radiograph; identified on newborn screening; "bubble boy disease, absent T cells, life-threatening without treatment"	Genetic defects affecting T-cell development and function; over 20 genes involved including IL2RG (X-linked SCID, 40 to 50%), JAK3, ADA, RAG1, RAG2, IL7R, others; absent or severely reduced T cells with variable B-cell and NK-cell involvement depending on genotype	1 in 50,000 to 1 in 100,000 live births; X-linked form most common (40 to 50%); identified by newborn screening in many countries	Failure to thrive, chronic diarrhea, persistent oral thrush, severe recurrent infections (bacterial, viral, fungal, opportunistic including Pneumocystis jirovecii), absent lymphoid tissue, persistent lymphopenia, absent thymic shadow on chest radiograph, graft-versus-host disease from maternal T-cell engraftment or blood transfusions	Presents in first few months of life; fatal by age 1 to 2 years without treatment; newborn screening allows presymptomatic diagnosis	Leaky or atypical SCID, Omenn syndrome, combined immunodeficiencies, DiGeorge syndrome, HIV infection	Newborn screening: low or absent T-cell receptor excision circles; confirmatory testing: severe lymphopenia (CD3-positive T cells less than 0.05 times 10 to the 9th per liter), absent proliferation to mitogens, absent thymic shadow; genetic testing for SCID-associated genes; flow cytometry for lymphocyte subsets	Urgent hematopoietic stem cell transplantation (curative); gene therapy for ADA deficiency and X-linked SCID; enzyme replacement for ADA deficiency; Pneumocystis jirovecii prophylaxis; immunoglobulin replacement; avoid live vaccines and non-irradiated blood products; isolation from infections until transplant	Y	https://www.ncbi.nlm.nih.gov/books/NBK1410/																
Sjogren Syndrome	Middle-aged woman with dry eyes (keratoconjunctivitis sicca), dry mouth (xerostomia), parotid gland enlargement, fatigue, joint pain; positive anti-SSA (anti-Ro) antibodies; "sicca syndrome: dry eyes, dry mouth, autoimmune exocrinopathy"	Autoimmune disorder with lymphocytic infiltration of exocrine glands (salivary and lacrimal); B-cell hyperactivity and T-cell mediated destruction of glandular epithelium; anti-SSA (Ro) and anti-SSB (La) antibodies present in two-thirds of patients	Prevalence 0.3 to 1 per 1,000; female-to-male ratio 9:1; peak incidence approximately 50 years; can be primary (isolated) or secondary (associated with rheumatoid arthritis, systemic lupus erythematosus, systemic sclerosis)	Dry eyes (foreign body sensation, photosensitivity), dry mouth (difficulty swallowing, dental caries), parotid gland enlargement, fatigue (over 80%), arthralgias (over 80%), extraglandular manifestations (interstitial lung disease, peripheral neuropathy, renal tubular acidosis, purpura, lymphoma in 5%)	Insidious onset; symptoms develop over months to years; chronic progressive course; increased lymphoma risk with long disease duration	Sicca symptoms from medications (anticholinergics, antihistamines), age-related dry eyes and mouth, sarcoidosis, IgG4-related disease, hepatitis C, lymphoma, other autoimmune diseases	Anti-SSA (Ro60) antibodies (present in two-thirds); minor salivary gland biopsy showing focus score greater than or equal to 1 (at least 50 inflammatory cells per 4 square millimeters); Schirmer test less than or equal to 5 millimeters per 5 minutes; ocular staining score greater than or equal to 5; unstimulated whole salivary flow less than or equal to 0.1 milliliters per minute; 2017 ACR-EULAR criteria require score greater than or equal to 4	Symptomatic treatment: artificial tears and ocular lubricants for dry eyes; saliva substitutes, sugar-free gum, frequent sips of water for dry mouth; muscarinic agonists (pilocarpine 5 milligrams three to four times daily, cevimeline) to stimulate secretions; hydroxychloroquine for arthralgias and fatigue; immunosuppression (corticosteroids, rituximab) for severe systemic manifestations; regular dental care; monitor for lymphoma	N	https://www.ncbi.nlm.nih.gov/books/NBK441833/																
Trisomy 21 (Down Syndrome)	Newborn with hypotonia, upslanting palpebral fissures, flat facial profile, single palmar crease, sandal gap between first and second toes	Chromosomal disorder: 96% meiotic nondisjunction (maternal age-related), 3-4% Robertsonian translocation, 1-2% mosaicism; extra copy of chromosome 21 causes developmental abnormalities	1 in 700 live births; risk increases with maternal age (1 in 1,500 at age 20 to 1 in 30 at age 45)	Characteristic facies (flat profile, upslanting palpebral fissures, epicanthal folds, Brushfield spots), hypotonia, congenital heart defects (50%, especially atrioventricular septal defects), duodenal atresia, intellectual disability (mild to moderate), increased leukemia risk, early-onset Alzheimer disease	Congenital; developmental milestones delayed; life expectancy now 60 years with appropriate care	Other trisomies (18, 13), Zellweger syndrome, congenital hypothyroidism	Prenatal: cell-free DNA screening, amniocentesis, or chorionic villus sampling; postnatal: karyotype (essential for genetic counseling), fluorescence in situ hybridization for rapid confirmation	Echocardiogram at birth, thyroid screening, complete blood count, early intervention services, speech and physical therapy, surgical correction of cardiac and gastrointestinal anomalies, regular health surveillance for associated conditions	N	https://www.ncbi.nlm.nih.gov/books/NBK1313/																
Turner Syndrome (XO)	Short female with webbed neck, shield chest, widely spaced nipples, primary amenorrhea; "short girl, no period, webbed neck"	Complete or partial loss of second sex chromosome (45,X in 40-50%, mosaic 45,X/46,XX in 15-25%); haploinsufficiency of genes in pseudoautosomal regions of X chromosome	1 in 2,000 to 1 in 2,500 liveborn females	Short stature (evident by age 5), ovarian dysgenesis with primary amenorrhea and infertility, webbed neck, low posterior hairline, lymphedema of hands/feet in infancy, shield chest with widely spaced nipples, congenital heart defects (coarctation of aorta, bicuspid aortic valve in 30-50%), horseshoe kidney, hypothyroidism, hearing loss, normal intelligence with nonverbal learning disabilities	Congenital; short stature becomes evident by age 5; absent puberty without hormone replacement; lifelong increased cardiovascular and metabolic risks	Noonan syndrome, constitutional growth delay, other causes of short stature and delayed puberty, congenital heart disease	Karyotype showing 45,X or mosaic patterns; elevated follicle-stimulating hormone and luteinizing hormone; low estradiol; echocardiogram to evaluate for cardiac defects; renal ultrasound	Growth hormone therapy during childhood and adolescence to improve final height; estrogen replacement therapy starting at age 11-12 years to induce puberty; lifelong hormone replacement; cardiovascular surveillance; management of comorbidities (thyroid, hearing, metabolic)	Y	https://www.ncbi.nlm.nih.gov/books/NBK1487/																
Type 1 Hyperlipoproteinemia (Familial Chylomicronemia Syndrome)	Child or young adult with recurrent pancreatitis, eruptive xanthomas, lipemia retinalis, milky plasma after fasting; "creamy plasma, eruptive xanthomas, pancreatitis"	Autosomal recessive disorder caused by biallelic mutations in genes encoding lipoprotein lipase pathway components (LPL, APOC2, APOA5, GPIHBP1, LMF1); defective chylomicron clearance leads to severe triglyceride accumulation	Prevalence 1 in 100,000 to 1 in 1,000,000; accounts for small percentage of severe hypertriglyceridemia cases	Severe hypertriglyceridemia (often greater than 1000 to 2000 mg per dL), recurrent pancreatitis, eruptive xanthomas, lipemia retinalis (triglycerides greater than 4000 mg per dL), hepatosplenomegaly, milky or creamy plasma appearance, abdominal pain, failure to thrive in infants	Presents in childhood or early adulthood; recurrent episodes of pancreatitis with triglyceride elevations; lifelong condition with risk of complications	Multifactorial chylomicronemia syndrome, secondary hypertriglyceridemia, other causes of pancreatitis	Fasting triglycerides markedly elevated (often greater than 1000 mg per dL); very low LDL cholesterol and HDL cholesterol; post-heparin lipolytic activity assay showing reduced or absent lipoprotein lipase activity; genetic testing for mutations in LPL, APOC2, APOA5, GPIHBP1, LMF1 genes	Severe dietary fat restriction (10 to 15 grams per day or 10 to 20% of total calories); medium-chain triglyceride supplementation; avoid alcohol, estrogen, and other triglyceride-raising medications; fibrates have limited efficacy; volanesorsen (antisense oligonucleotide targeting APOC3) for severe cases; manage acute pancreatitis with supportive care	Y	https://www.ncbi.nlm.nih.gov/books/NBK1308/																
