Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Anaphylaxis	Acute onset of urticaria, angioedema, wheezing, and hypotension after bee sting or peanut exposure	Immunoglobulin E mediated mast cell and basophil degranulation releasing histamine, tryptase, and other mediators causing vasodilation, increased vascular permeability, and bronchospasm	Lifetime prevalence 0.05% to 2%; can occur at any age; history of atopy increases risk	Rapid onset of skin findings (urticaria, angioedema, flushing) with respiratory (dyspnea, wheezing, stridor) or cardiovascular (hypotension, syncope) compromise; gastrointestinal symptoms (nausea, vomiting, cramping); sense of impending doom	Onset within minutes to 2 hours of exposure; biphasic reactions occur in 1% to 20% within 4 to 12 hours	Asthma exacerbation, vasovagal syncope, panic attack, hereditary angioedema, scombroid poisoning	Clinical diagnosis; elevated serum tryptase (peak 1 to 2 hours after onset, remains elevated up to 6 hours); skin testing or specific immunoglobulin E to identify trigger	Immediate intramuscular epinephrine 0.3 to 0.5 milligrams (1:1000 dilution) in anterolateral thigh; repeat every 5 to 15 minutes as needed; supplemental oxygen; intravenous fluids; supine positioning with legs elevated; antihistamines and corticosteroids as adjuncts; observation 4 to 8 hours; prescribe epinephrine autoinjector	Y	https://www.uptodate.com/contents/anaphylaxis-acute-diagnosis-and-treatment																
Albinism	Congenital absence of pigmentation with white hair, pale skin, nystagmus, and photophobia in infant	Genetic defects in melanin synthesis pathway; oculocutaneous albinism affects eyes and skin (tyrosinase gene mutations most common); ocular albinism affects eyes only	Oculocutaneous albinism affects 1 in 17,000 to 20,000 worldwide; higher prevalence in sub-Saharan Africa; autosomal recessive inheritance (X-linked for ocular albinism)	White to light brown hair and skin; blue to light brown irides with iris transillumination; nystagmus; reduced visual acuity; photophobia; foveal hypoplasia; increased skin cancer risk	Present from birth; lifelong condition; pigmentation may increase slightly with age in some subtypes	Piebaldism, vitiligo, phenylketonuria, Chediak-Higashi syndrome, Hermansky-Pudlak syndrome	Clinical diagnosis; genetic testing confirms subtype; ophthalmologic examination shows foveal hypoplasia, reduced pigmentation, nystagmus; skin biopsy shows melanocytes with absent or reduced melanin	No cure; rigorous sun protection with sunscreen and protective clothing; ophthalmologic care with corrective lenses, low vision aids; skin cancer surveillance; genetic counseling	N	https://www.uptodate.com/contents/oculocutaneous-albinism																
Anaplasmosis	Fever, headache, myalgia after tick bite in endemic area; absence of rash distinguishes from Rocky Mountain spotted fever	Obligate intracellular bacteria (Anaplasma phagocytophilum) transmitted by Ixodes tick; infects granulocytes forming morulae; causes systemic inflammatory response	Endemic in northeastern, mid-Atlantic, and upper midwestern United States; incidence peaks May through July; median age 60 years	Fever, headache, myalgia, malaise 5 to 14 days after tick bite; rash uncommon (less than 10%); may have nausea, vomiting, cough; severe cases develop respiratory failure, renal failure, neurologic complications	Incubation 5 to 14 days after tick bite; acute illness lasts 1 to 2 weeks without treatment	Ehrlichiosis, Rocky Mountain spotted fever, influenza, Lyme disease, viral syndrome	Thrombocytopenia, leukopenia, elevated transaminases; morulae in granulocytes on peripheral smear (20% to 80% sensitivity); polymerase chain reaction most sensitive; serology shows fourfold rise in antibody titer	Doxycycline 100 milligrams twice daily for 10 to 14 days; start empirically if suspected; do not wait for confirmatory testing; rifampin alternative for pregnant patients	Y	https://www.uptodate.com/contents/anaplasmosis																
Androgenetic alopecia	Gradual hair thinning in a male patient with bitemporal recession and vertex balding; female patient with diffuse vertex thinning sparing frontal hairline	Testosterone converted to dihydrotestosterone by 5-alpha-reductase binds androgen receptors on hair follicles causing terminal follicles to miniaturize into vellus follicles	Most common form of hair loss; affects at least 50% of males and 30% of females; prevalence increases with age and varies with genetics	Males: bitemporal and vertex hair loss with occipital and temporal fringe preservation; Females: diffuse vertex thinning with frontal hairline sparing; miniaturization of follicles on examination	Gradually progressive over years to decades; onset typically postpubertal in males, postmenopausal in females	Telogen effluvium, alopecia areata, tinea capitis, traction alopecia, thyroid disease	Clinical diagnosis based on sex-specific pattern; scalp examination shows follicular miniaturization	Topical minoxidil 2% to 5% solution applied to scalp; oral finasteride 1 mg daily for males; treatment must be continuous or hair loss recurs	N	https://www.aafp.org/afp/2024/0900/hair-loss.html																
Angioedema	Sudden onset of nonpitting swelling of face, lips, tongue, or airway; may occur with or without urticaria; patient taking ACE inhibitor	Histaminergic: IgE-mediated mast cell degranulation releasing histamine; Non-histaminergic: bradykinin accumulation from C1-inhibitor deficiency or ACE inhibitor use prolonging bradykinin half-life	Common in allergic and ACE inhibitor-induced forms; rare in hereditary angioedema and acquired C1-inhibitor deficiency	Nonpitting edema of face, lips, tongue, larynx, or extremities; may have abdominal pain if gastrointestinal involvement; urticaria present in histaminergic forms but absent in bradykinin-mediated forms	Rapid onset over minutes to hours in allergic forms; can occur anytime during ACE inhibitor therapy even after years of use	Anaphylaxis, hereditary angioedema, acquired C1-inhibitor deficiency, idiopathic angioedema, drug-induced angioedema	Clinical diagnosis; complement levels C4 and C1-inhibitor for hereditary angioedema; medication history for ACE inhibitor use	Airway management is priority; histaminergic: epinephrine, antihistamines, corticosteroids; bradykinin-mediated: C1-inhibitor concentrate, icatibant, ecallantide; discontinue ACE inhibitor if implicated	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100605/																
Aplasia Cutis Congenita	Newborn with congenital absence of skin on scalp vertex; may appear as ulcer or healed scar at birth	Congenital localized absence of skin with variable involvement of underlying bone and soft tissue; etiology unclear but may involve vascular disruption or developmental defect	Rare; scalp vertex involved in 96% of cases	Localized area of absent skin most commonly on scalp vertex; lesions may be round, oval, rectangular, or star-shaped; underlying bone defect in some cases; alopecia in affected area after healing	Present at birth; lesions may be ulcerated or already healed; healing occurs over weeks to months leaving scar	Birth trauma, infection, amniotic band syndrome, epidermolysis bullosa	Clinical diagnosis; imaging if bone involvement suspected; evaluate for associated syndromes such as Adams-Oliver syndrome or trisomy 13	Small defects: conservative wound care with dressings; large or deep defects with vascular exposure: immediate surgical intervention; bone reconstruction if needed	Y	https://medlineplus.gov/genetics/condition/nonsyndromic-aplasia-cutis-congenita/																
Arterial Ulcers	Painful ulcer on toes or foot in patient with peripheral arterial disease; severe pain, irregular pink base, diminished pulses	Atherosclerotic peripheral arterial disease causing tissue ischemia and impaired wound healing; may also result from acute arterial occlusion or thromboangiitis obliterans	Common in patients with atherosclerotic risk factors including smoking, diabetes, hypertension, hyperlipidemia	Severe pain; irregular ulcer with pink or pale base on toes or foot; diminished or absent pulses; cool extremity; dependent rubor; pallor on elevation	Chronic progressive course in atherosclerotic disease; acute onset if embolic or thrombotic occlusion	Venous ulcers, neurotrophic ulcers, vasculitis, pyoderma gangrenosum	Ankle-brachial index; arterial duplex ultrasound; angiography if revascularization considered; assess cardiovascular risk factors	Revascularization when feasible; wound care; pain management; cardiovascular risk factor modification including antiplatelet therapy, statin, smoking cessation; amputation if nonviable tissue	Y	https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.106.174526																
Atopic Dermatitis	Child with chronic relapsing pruritic eczema on flexural surfaces; personal or family history of atopy; dry skin	Type 2 helper T cell-mediated inflammation with skin barrier dysfunction; elevated IgE in up to 80% of patients; genetic and environmental factors contribute	Common; onset typically between 2 months and 6 months of age; affects up to 20% of children and 3% of adults	Pruritus; chronic or relapsing eczema with age-specific distribution; infants: face and extensor surfaces; children and adults: flexural areas; xerosis; lichenification in chronic cases; increased risk of skin infections	Chronic relapsing course; onset typically in infancy; may persist into adulthood or resolve with age	Contact dermatitis, seborrheic dermatitis, psoriasis, scabies, cutaneous T-cell lymphoma	Clinical diagnosis based on morphology, distribution, and history; severity assessed by EASI or SCORAD scores	Emollients and skin hydration; topical corticosteroids; topical calcineurin inhibitors; severe cases: phototherapy, systemic immunosuppressants, dupilumab, JAK inhibitors; treat secondary infections	N	https://www.nejm.org/doi/full/10.1056/NEJMra2023911																
Babesiosis	Fever and hemolytic anemia after tick bite in Northeast/upper Midwest; "Maltese cross" on blood smear	Intraerythrocytic protozoan parasite (Babesia microti) transmitted by Ixodes scapularis tick; causes red blood cell lysis	Endemic to Northeast and upper Midwest United States; also transmitted via blood transfusion; higher risk in immunocompromised and elderly	Fever, fatigue, chills, sweats, headache, myalgia, arthralgia, anorexia; thrombocytopenia, hemolytic anemia, elevated liver enzymes	Acute onset days to weeks after tick exposure; can persist weeks to months if untreated	Malaria, ehrlichiosis, anaplasmosis, viral syndromes, other causes of hemolytic anemia	Giemsa or Wright-stained thin blood smear showing intraerythrocytic parasites with ring forms or Maltese cross tetrads; polymerase chain reaction for low-grade parasitemia; serology	Atovaquone plus azithromycin for 7-10 days (mild to moderate); clindamycin plus quinine for severe disease	N	https://www.uptodate.com/contents/babesiosis																
Basal Cell Carcinoma	Pearly papule with rolled borders and telangiectasias on sun-exposed skin; "rodent ulcer"	Malignant proliferation of basal keratinocytes; associated with ultraviolet radiation exposure, mutations in hedgehog signaling pathway	Most common skin cancer; primarily affects older adults with fair skin and chronic sun exposure	Pearly or translucent papule or nodule with rolled borders, central ulceration, telangiectasias; typically on face, head, neck	Slow-growing over months to years; rarely metastasizes but can be locally destructive	Squamous cell carcinoma, melanoma, seborrheic keratosis, actinic keratosis, dermatofibroma, molluscum contagiosum	Skin biopsy with histopathologic examination; shave or punch biopsy acceptable for low-risk lesions	Low-risk: curettage and electrodesiccation, standard excision with 4 millimeter margins, topical imiquimod for superficial types; High-risk: Mohs micrographic surgery or excision with peripheral and deep en face margin assessment; radiation therapy for nonsurgical candidates	N	https://www.uptodate.com/contents/basal-cell-carcinoma																
Bedbugs	Pruritic papules in linear distribution ("breakfast, lunch, and dinner" sign) after awakening; recent travel to hotels or shelters	Allergic reaction to salivary proteins from Cimex lectularius or Cimex hemipterus bites during nocturnal blood feeding	Worldwide distribution; increased incidence with travel and shared accommodations; no socioeconomic boundaries	Multiple pruritic erythematous papules with possible hemorrhagic punctum on exposed areas (head, neck, extremities); linear or grouped distribution; may cause bullous reactions or papular urticaria	Lesions appear hours to days after bites; infestation persists until environmental treatment	Scabies, flea bites, other arthropod bites, contact dermatitis, urticaria, papular urticaria	Clinical diagnosis based on history and examination; environmental inspection for bedbugs in mattresses, furniture, walls; skin scraping to exclude scabies if uncertain	Symptomatic relief with topical corticosteroids and oral antihistamines; environmental pest control measures essential (professional extermination, heat treatment, insecticides)	N	https://www.uptodate.com/contents/bedbugs-cimicidae																
Behcet's Disease	Recurrent painful oral and genital ulcers with uveitis in young adult from Silk Road region; positive pathergy test	Systemic vasculitis affecting arteries and veins of all sizes; immune dysregulation with neutrophil hyperactivity; strong association with HLA-B51	Most common along historical Silk Road (Turkey, Middle East, East Asia); onset typically in third decade; more severe if onset before age 25	Recurrent oral ulcers (nearly universal), genital ulcers with scarring, uveitis (anterior or posterior), skin lesions (erythema nodosum, papulopustular), arthritis, vascular thrombosis, neurologic involvement (brainstem lesions)	Chronic relapsing-remitting course over years; severe manifestations can occur early	Herpes simplex virus, inflammatory bowel disease, syphilis, sarcoidosis, multiple sclerosis, systemic lupus erythematosus, reactive arthritis, aphthous stomatitis	Clinical diagnosis using International Criteria for Behcet Disease (4 or more points from oral ulcers, genital ulcers, ocular lesions, skin lesions, vascular manifestations, neurologic manifestations, positive pathergy test); biopsy shows nonspecific vasculitis	Colchicine for mucocutaneous manifestations; corticosteroids and immunosuppressives (azathioprine, cyclosporine) for severe disease; anti-tumor necrosis factor agents (infliximab, adalimumab) for refractory cases; anticoagulation controversial for thrombosis	Y	https://www.uptodate.com/contents/clinical-manifestations-and-diagnosis-of-behcet-syndrome																
Biotin (Vitamin B7) Deficiency	Alopecia, dermatitis, and neurologic symptoms in patient on prolonged raw egg whites or total parenteral nutrition	Biotin is cofactor for carboxylases in fatty acid synthesis, gluconeogenesis, and amino acid metabolism; deficiency impairs these pathways; raw egg whites contain avidin which binds biotin	Rare; occurs with prolonged total parenteral nutrition without biotin supplementation, genetic biotinidase deficiency, chronic anticonvulsant use, excessive raw egg white consumption	Alopecia, scaly erythematous dermatitis (especially periorificial), conjunctivitis, ataxia, seizures, developmental delay in infants, paresthesias, depression	Develops over weeks to months of inadequate intake; symptoms resolve with supplementation	Zinc deficiency, essential fatty acid deficiency, acrodermatitis enteropathica, seborrheic dermatitis, other causes of alopecia	Clinical diagnosis; decreased urinary biotin excretion, decreased serum biotin levels, increased urinary 3-hydroxyisovaleric acid; genetic testing for biotinidase deficiency	Oral biotin supplementation 5-10 milligrams daily for acquired deficiency; higher doses (5-20 milligrams daily) for biotinidase deficiency; symptoms improve within weeks	N	https://www.uptodate.com/contents/biotin																
Bullous Pemphigoid	Elderly patient with tense bullae on erythematous base and severe pruritus; spares mucous membranes	Autoantibodies (immunoglobulin G) against hemidesmosomal proteins BP180 (collagen XVII) and BP230 cause subepidermal blister formation	Most common autoimmune blistering disease; primarily affects elderly (over 60 years); incidence increasing with aging population	Tense bullae on erythematous or normal skin, severe pruritus (may precede blisters by weeks to months), urticarial plaques; typically trunk and flexural areas; oral involvement uncommon	Chronic course with relapses and remissions over months to years; high morbidity and mortality in elderly	Pemphigus vulgaris, epidermolysis bullosa acquisita, linear immunoglobulin A disease, dermatitis herpetiformis, drug eruptions, insect bites	Skin biopsy showing subepidermal blister with eosinophils; direct immunofluorescence showing linear immunoglobulin G and complement C3 at basement membrane zone; serology for anti-BP180 and anti-BP230 antibodies	Topical corticosteroids (clobetasol) for localized disease; systemic corticosteroids (prednisone 0.5-1 milligram per kilogram daily) for widespread disease; steroid-sparing agents (azathioprine, mycophenolate mofetil); biologics (rituximab, omalizumab, dupilumab) for refractory cases	N	https://www.uptodate.com/contents/bullous-pemphigoid																
Café-au-Lait Macules	Light brown macules; multiple lesions suggest neurofibromatosis type 1 (6 or more greater than 5 millimeters prepubertal or greater than 15 millimeters postpubertal)	Increased melanin production in melanocytes and keratinocytes; isolated lesions are benign; multiple lesions associated with genetic syndromes affecting melanocyte regulation	Present in 10-20% of general population as isolated finding; multiple lesions seen in neurofibromatosis type 1, McCune-Albright syndrome, Legius syndrome	Well-demarcated, uniformly pigmented light to dark brown macules; smooth borders; present at birth or develop in early childhood; distribution varies	Present from birth or appear in first few years of life; persist throughout life; do not change significantly	Neurofibromatosis type 1, McCune-Albright syndrome, Legius syndrome, normal variant (isolated lesions), post-inflammatory hyperpigmentation	Clinical diagnosis based on appearance and number; Wood lamp examination shows enhanced pigmentation; skin biopsy rarely needed; evaluate for associated syndromes if 6 or more lesions present	No treatment needed for isolated lesions; laser therapy for cosmetic concerns; monitor for associated conditions if multiple lesions present	N	https://www.uptodate.com/contents/cafe-au-lait-macules																
Calciphylaxis	Extremely painful skin lesions with retiform purpura or necrotic ulcers in end-stage renal disease patient; pain out of proportion to exam	Vascular calcification of small and medium-sized vessels in dermis and subcutaneous tissue causing ischemic necrosis; associated with abnormal calcium-phosphate metabolism and uremia	Occurs in 1-4% of dialysis patients; risk factors include end-stage renal disease, diabetes, obesity, female sex, warfarin use, hyperparathyroidism, elevated calcium-phosphate product	Extremely painful violaceous plaques with retiform purpura progressing to necrotic ulcers with black eschar; typically affects areas with high adipose tissue (abdomen, thighs, buttocks); systemic symptoms may be absent early	Acute to subacute onset over days to weeks; rapidly progressive; high mortality (60-80% at 1 year) if untreated	Warfarin-induced skin necrosis, cellulitis, pyoderma gangrenosum, cholesterol embolization, necrotizing vasculitis, atherosclerotic vascular disease, venous stasis ulcer	Skin biopsy showing medial calcification of small to medium vessels with intimal proliferation and thrombosis; von Kossa or alizarin red staining highlights calcium; radiographs may show vascular calcification	Discontinue calcium-containing phosphate binders and vitamin D; optimize dialysis; sodium thiosulfate intravenous 25 grams three times weekly during dialysis; wound care; pain management; parathyroidectomy if hyperparathyroidism; avoid trauma	Y	https://www.uptodate.com/contents/calciphylaxis-calcific-uremic-arteriolopathy																
Candida albicans	Budding yeast with pseudohyphae on potassium hydroxide preparation; white plaques in immunocompromised patient	Opportunistic dimorphic fungus; normal commensal of skin, mucous membranes, and gastrointestinal tract; causes infection when host defenses compromised or normal flora disrupted	Most common fungal pathogen in humans; colonizes 30-50% of healthy individuals; infection risk increased with immunosuppression, diabetes, antibiotic use, corticosteroids	Varies by site: oral thrush (white plaques on tongue and buccal mucosa), vulvovaginal candidiasis (pruritus, white discharge), cutaneous candidiasis (erythematous patches with satellite pustules in intertriginous areas), invasive candidiasis in immunocompromised	Acute onset over days; chronic or recurrent in immunocompromised; invasive disease develops rapidly in critically ill	Other Candida species, dermatophytosis, bacterial infections, contact dermatitis, psoriasis (intertriginous), oral leukoplakia, lichen planus	Potassium hydroxide preparation showing budding yeast with pseudohyphae; culture on Sabouraud agar; germ tube test positive; blood cultures for invasive disease; beta-D-glucan and mannan antigen for systemic infection	Topical azoles (clotrimazole, miconazole) for localized mucocutaneous; oral fluconazole for vulvovaginal or refractory cases; echinocandins (caspofungin, micafungin) or fluconazole for invasive disease; address underlying risk factors	N	https://www.uptodate.com/contents/candida-infections-of-the-mouth-throat-and-esophagus																
Candidiasis	White plaques or erythematous patches with satellite pustules; diaper rash with satellite lesions; vaginal discharge with pruritus	Infection caused by Candida species (most commonly Candida albicans); overgrowth occurs with disruption of normal flora, moisture, maceration, or immunosuppression	Very common; affects all ages; risk factors include diabetes, obesity, antibiotic use, immunosuppression, pregnancy, oral contraceptives, dentures	Oral: white plaques on tongue and buccal mucosa that scrape off; Cutaneous: erythematous patches with satellite pustules in skin folds; Vulvovaginal: pruritus, white cottage cheese-like discharge, erythema; Invasive: fever, sepsis in immunocompromised	Acute onset over days for mucocutaneous; chronic or recurrent in predisposed individuals; invasive disease progresses rapidly	Bacterial intertrigo, dermatophytosis, seborrheic dermatitis, psoriasis, contact dermatitis, bacterial vaginosis, trichomoniasis	Potassium hydroxide preparation showing budding yeast with pseudohyphae; culture; clinical diagnosis often sufficient for mucocutaneous disease	Topical antifungals (nystatin, clotrimazole, miconazole) for mucocutaneous; oral fluconazole for vulvovaginal or extensive cutaneous; keep affected areas dry; systemic antifungals for invasive disease	N	https://www.uptodate.com/contents/candidiasis-mucocutaneous																
