Condition	USMLE Classic Presentation	Pathophysiology	Epidemiology	Salient Signs & Symptoms	Time Course	Differential	Diagnostics	Treatment	Never Miss	More Info																
Congenital Insensitivity to Pain	Child with recurrent injuries, burns, fractures, and self-mutilation without pain perception; normal intelligence and other sensory modalities	Autosomal recessive loss-of-function mutation in sodium voltage-gated channel alpha subunit 9 gene; complete loss of channel function prevents action potential generation in nociceptive neurons; pain sensation absent while other sensory modalities preserved	Extremely rare; fewer than 100 cases reported worldwide; onset from birth; equal gender distribution	Complete absence of pain perception from birth; recurrent unnoticed injuries, burns, fractures, joint damage; self-mutilation (tongue biting, finger biting); corneal scarring from eye trauma; normal touch, temperature discrimination, proprioception; normal intelligence; anhidrosis common	Present from birth; lifelong; progressive joint destruction and complications from repeated trauma	Hereditary sensory and autonomic neuropathy types, congenital indifference to pain (central processing disorder), leprosy, syringomyelia, familial dysautonomia	Genetic testing showing homozygous or compound heterozygous loss-of-function mutations in sodium voltage-gated channel alpha subunit 9; nerve biopsy shows absence of small unmyelinated C fibers; quantitative sensory testing confirms absent pain perception; normal nerve conduction studies for large fibers	No cure; preventive measures: protective equipment, environmental modifications, frequent examinations for injuries; patient and family education; treatment of injuries and infections; orthopedic management of joint damage; psychological support	N	https://www.uptodate.com/contents/hereditary-sensory-and-autonomic-neuropathies																
Epidural Hemorrhage	Young patient with head trauma, brief loss of consciousness, lucid interval, then rapid deterioration; "talk and die"	Arterial bleeding (typically middle meningeal artery) from temporal bone fracture; blood accumulates between skull and dura; does not cross suture lines	More common in younger patients; associated with temporal bone fractures and high-impact trauma	Initial loss of consciousness followed by lucid interval (classic but not always present), then rapid neurologic deterioration with headache, vomiting, altered mental status, contralateral hemiparesis, ipsilateral pupil dilation (uncal herniation)	Acute onset after trauma; lucid interval may last minutes to hours before deterioration	Subdural hematoma, subarachnoid hemorrhage, traumatic brain injury, cerebral contusion, skull fracture	Noncontrast computed tomography head shows biconvex (lentiform) hyperdense collection that does not cross suture lines; may see associated skull fracture	Emergent neurosurgical evacuation for significant hematomas or neurologic deterioration; small hematomas in stable patients may be observed with serial imaging	Y	https://www.uptodate.com/contents/epidural-hematoma-in-adults																
Episodic Ataxia Type 1	Child or young adult with brief episodes (seconds to minutes) of ataxia and dysarthria triggered by startle, stress, or exercise; myokymia between episodes	Autosomal dominant mutation in potassium voltage-gated channel subfamily A member 1 gene on chromosome 12; encodes voltage-gated potassium channel; mutation causes neuronal hyperexcitability in cerebellum and peripheral nerves	Rare; prevalence unknown; onset typically in childhood or adolescence; equal gender distribution	Brief episodes (seconds to minutes) of ataxia, dysarthria, vertigo, blurred vision; triggered by sudden movement, startle, stress, exercise; continuous myokymia (fine muscle twitching) especially periocular; normal between attacks initially; may develop persistent ataxia with age	Episodes begin in childhood; frequency variable (daily to monthly); individual episodes last seconds to minutes; may develop progressive baseline ataxia over decades	Episodic ataxia type 2, paroxysmal kinesigenic dyskinesia, multiple sclerosis, vestibular migraine, hyperekplexia, myotonia congenita	Genetic testing for potassium voltage-gated channel subfamily A member 1 mutations; electromyography shows myokymic discharges; magnetic resonance imaging brain typically normal; acetazolamide trial may be diagnostic and therapeutic	Acetazolamide (carbonic anhydrase inhibitor) reduces attack frequency and severity in most patients; carbamazepine or phenytoin alternatives; avoid triggers when possible	N	https://www.uptodate.com/contents/overview-of-hereditary-ataxias																
Foix-Chavany-Marie Syndrome	Bilateral loss of voluntary control of facial, pharyngeal, lingual, and masticatory muscles with preserved reflexive and automatic functions; "anterior opercular syndrome, facio-pharyngo-glosso-masticatory diplegia"	Bilateral lesions of anterior opercular regions (frontal and parietal opercula) causing cortical pseudobulbar palsy; disrupts voluntary motor pathways while preserving automatic and emotional pathways; causes include bilateral strokes, meningoencephalitis, perisylvian dysgenesis, epileptic disorders, brain abscess	Very rare; can be congenital (perisylvian dysgenesis) or acquired; acquired form typically from bilateral vascular events in adults or meningoencephalitis in children; also called Worster-Drought syndrome in children	Anarthria or severe dysarthria, inability to voluntarily move facial muscles, tongue, or pharyngeal muscles on command; preserved automatic functions: laughing, crying, coughing, yawning; drooling, dysphagia, difficulty with mastication; patient alert and cognitively intact	Acute with stroke or infection (hours to days); congenital form present from birth; may be persistent or intermittent with epileptic variant	Bulbar palsy (lower motor neuron), other pseudobulbar palsy causes, locked-in syndrome, severe dysarthria from other causes, bilateral facial nerve palsy	Magnetic resonance imaging shows bilateral anterior opercular lesions (frontal and parietal opercula); electroencephalography if epileptic etiology suspected; cerebrospinal fluid analysis for infectious causes; clinical examination demonstrating automatic-voluntary dissociation	Treat underlying cause: stroke prevention, antibiotics for meningoencephalitis, antiepileptic drugs for epileptic variant; speech therapy; feeding support (nasogastric tube or percutaneous endoscopic gastrostomy if needed); prognosis variable, often favorable with treatment	N	https://www.uptodate.com/contents/overview-of-lower-cranial-nerve-lesions																
Foville Syndrome	Ipsilateral sixth and seventh nerve palsies, conjugate gaze palsy toward lesion, and contralateral hemiparesis; "Millard-Gubler plus gaze palsy"	Dorsal pontine tegmentum lesion affecting abducens nucleus (causing ipsilateral lateral rectus palsy and conjugate gaze palsy), facial nerve fascicles, and corticospinal tract; most commonly due to pontine infarction; also demyelination, hemorrhage	Rare; affects adults with cerebrovascular risk factors; less common than ventral pontine syndromes	Ipsilateral: conjugate gaze palsy (eyes deviate away from lesion), lateral rectus palsy, peripheral facial palsy, possible Horner syndrome; Contralateral: hemiparesis, hemisensory loss possible	Acute onset with stroke (minutes to hours); subacute with other etiologies	Millard-Gubler syndrome (no gaze palsy), other pontine strokes, multiple sclerosis, pontine hemorrhage, basilar artery occlusion	Magnetic resonance imaging shows dorsal pontine tegmental lesion; magnetic resonance angiography for vascular evaluation; diffusion-weighted imaging for acute stroke	Acute stroke: thrombolysis or thrombectomy if eligible; secondary prevention; supportive care; physical and occupational therapy	Y	https://www.uptodate.com/contents/overview-of-the-clinical-manifestations-of-posterior-circulation-stroke																
Guillain-Barré Syndrome	Patient with ascending symmetric weakness and areflexia following recent respiratory or gastrointestinal infection (especially Campylobacter jejuni); "paralysis that ascends"	Acute immune-mediated demyelinating or axonal polyneuropathy; molecular mimicry between infectious agents (Campylobacter jejuni, cytomegalovirus, Epstein-Barr virus) and peripheral nerve components; antibodies against gangliosides (GM1, GD1a, GQ1b) cause nerve damage	Incidence 1 to 2 per 100,000 per year; affects all ages with slight male predominance; 60 to 70 percent have antecedent infection 1 to 3 weeks prior	Progressive symmetric ascending weakness (legs before arms), areflexia or hyporeflexia, paresthesias, back pain; respiratory muscle weakness in 25 percent; autonomic dysfunction (arrhythmias, blood pressure lability); Miller Fisher variant: ophthalmoplegia, ataxia, areflexia	Progressive phase: worsens over days to 4 weeks (nadir by 2 weeks in 50 percent, by 4 weeks in 90 percent); Plateau phase: 2 to 4 weeks; Recovery: months to years	Myasthenia gravis, botulism, tick paralysis, acute intermittent porphyria, transverse myelitis, spinal cord compression, chronic inflammatory demyelinating polyneuropathy, critical illness polyneuropathy	Cerebrospinal fluid shows albuminocytologic dissociation (elevated protein greater than 45 milligrams per deciliter, normal white blood cell count less than 10 per microliter); nerve conduction studies show demyelination or axonal loss; spirometry to assess respiratory function	Intravenous immunoglobulin (0.4 grams per kilogram per day for 5 days) or plasma exchange; supportive care in intensive care unit if respiratory compromise; monitor forced vital capacity and negative inspiratory force; mechanical ventilation if needed; thromboprophylaxis; pain management	Y	https://www.uptodate.com/contents/guillain-barre-syndrome-in-adults																
Hirschsprung Disease (Megacolon)	Newborn with delayed passage of meconium (greater than 48 hours), abdominal distension, bilious vomiting; "no meconium, big belly"; gushing of stool with rectal exam; may present with enterocolitis	Congenital absence of ganglion cells (aganglionosis) in myenteric and submucosal plexuses; failure of cranial-caudal migration of neural crest cells during embryonic development; aganglionic segment cannot relax, causing functional obstruction; most commonly affects rectosigmoid (80%); genetic mutations in RET proto-oncogene (most common), EDNRB, and others	Incidence 1 in 5000 live births; male to female ratio 4:1; associated with Down syndrome (trisomy 21), Waardenburg syndrome, Mowat-Wilson syndrome, congenital central hypoventilation syndrome; familial in 20% of cases	Neonatal: delayed meconium passage (greater than 48 hours in 90%), abdominal distension, bilious vomiting, feeding intolerance; Older children: chronic constipation, failure to thrive, abdominal distension; Hirschsprung-associated enterocolitis: fever, explosive diarrhea, abdominal distension (life-threatening, 6-60% of patients); gushing of stool with rectal examination; absence of fecal soiling	Symptoms present from birth or early infancy; 80% diagnosed in neonatal period; enterocolitis can occur at any time before or after surgery; chronic symptoms if diagnosis delayed	Functional constipation (normal rectal exam, soiling present), meconium plug syndrome, meconium ileus (cystic fibrosis), intestinal atresia, hypothyroidism, other causes of neonatal intestinal obstruction	Contrast enema shows transition zone between dilated proximal bowel and narrow distal aganglionic segment; rectal suction biopsy (gold standard): absence of ganglion cells, increased acetylcholinesterase staining; anorectal manometry: absence of rectoanal inhibitory reflex	Rectal decompression with washouts; antibiotics for enterocolitis; definitive treatment: surgical resection of aganglionic segment with pull-through procedure (Swenson, Soave, or Duhamel); may require temporary colostomy; long-term management of postoperative complications (enterocolitis, constipation, soiling)	Y	https://www.ncbi.nlm.nih.gov/books/NBK537172/																
Horner Syndrome	Unilateral miosis, ptosis, anhidrosis; "small pupil, droopy eyelid, no sweat"; may have heterochromia iridis if congenital; associated with neck trauma, neuroblastoma in children, lung cancer in adults	Disruption of oculosympathetic pathway at any point from hypothalamus to eye; first-order neuron (central): hypothalamus to spinal cord; second-order neuron (preganglionic): spinal cord to superior cervical ganglion; third-order neuron (postganglionic): superior cervical ganglion to eye; causes include trauma, tumor (neuroblastoma, Pancoast tumor), dissection, iatrogenic injury	Rare; congenital cases often associated with birth trauma; acquired cases in children most commonly from neuroblastoma (50% of cases); in adults associated with lung cancer, carotid dissection, iatrogenic injury; affects all ages	Classic triad: miosis (small pupil), ptosis (drooping eyelid), anhidrosis (absent sweating); anhidrosis distribution depends on lesion location (facial if preganglionic, none if postganglionic); heterochromia iridis (lighter affected iris) if congenital; enophthalmos (apparent, not true); dilation lag in affected pupil in dim light	Congenital: present from birth; Acquired: acute onset with trauma or dissection; insidious with tumor; symptoms persist unless underlying cause treated	Physiologic anisocoria, third nerve palsy (has dilated pupil, not constricted), Adie tonic pupil, pharmacologic miosis, iris trauma	Clinical diagnosis; pharmacologic testing: cocaine test (affected pupil fails to dilate) or apraclonidine test (affected pupil dilates paradoxically); imaging based on suspected location: brain and cervical spine magnetic resonance imaging for central and preganglionic lesions; chest imaging for preganglionic lesions; neck imaging for all acquired cases; urine catecholamines and abdominal imaging in children to exclude neuroblastoma	Treat underlying cause; neuroblastoma: chemotherapy, surgery, radiation; carotid dissection: anticoagulation or antiplatelet therapy; tumor resection if appropriate; no specific treatment for ptosis or miosis unless cosmetically desired	Y	https://www.ncbi.nlm.nih.gov/books/NBK500000/																
Huntington Disease	Adult with progressive chorea, psychiatric symptoms, and family history of similar illness; "autosomal dominant chorea with anticipation"	Autosomal dominant trinucleotide repeat expansion (cytosine-adenine-guanine greater than 36 repeats) in huntingtin gene on chromosome 4; mutant huntingtin protein causes selective neuronal loss in striatum (caudate and putamen) and cortex; genetic anticipation occurs (earlier onset with paternal transmission)	Prevalence 5 to 10 per 100,000 in populations of European descent; mean age of onset 35 to 45 years; juvenile onset (less than 20 years) in 5 to 10 percent	Motor: chorea (involuntary, irregular, flowing movements), dystonia, rigidity (in juvenile form), bradykinesia, impaired coordination, dysphagia; Psychiatric: depression, irritability, apathy, psychosis, suicidal ideation; Cognitive: executive dysfunction, impaired attention, dementia	Insidious onset; progressive over 15 to 20 years; inverse correlation between repeat length and age of onset; death typically from aspiration pneumonia or other complications	Benign hereditary chorea, neuroacanthocytosis, Wilson disease, chorea-acanthocytosis, dentatorubral-pallidoluysian atrophy, drug-induced chorea, Sydenham chorea	Genetic testing showing cytosine-adenine-guanine repeat expansion greater than 36 (36 to 39 reduced penetrance, 40 or more full penetrance); magnetic resonance imaging shows caudate atrophy with enlarged frontal horns (boxcar ventricles); positron emission tomography shows striatal hypometabolism	Symptomatic treatment: tetrabenazine or deutetrabenazine for chorea (vesicular monoamine transporter 2 inhibitors); antipsychotics for psychiatric symptoms; antidepressants for depression; physical therapy, speech therapy; genetic counseling for family members	N	https://www.uptodate.com/contents/huntington-disease-clinical-features-and-diagnosis																
Infantile Hydrocephalus	Infant with rapidly increasing head circumference, bulging fontanelle, and "setting sun" eyes (downward gaze deviation)	Impaired cerebrospinal fluid circulation due to congenital malformations (aqueductal stenosis, Chiari malformation, Dandy-Walker malformation), intraventricular hemorrhage from prematurity, or infection; leads to ventricular enlargement and elevated intracranial pressure	Most common cause in United States is intraventricular hemorrhage associated with prematurity; globally, infection is most common; approximately 400,000 cases worldwide annually	Head circumference enlarging faster than expected, bulging anterior fontanelle, widely separated cranial sutures, downward deviated gaze (setting sun sign), irritability, lethargy, vomiting, apnea and bradycardia episodes, developmental regression	Progressive over weeks to months; neonates rarely present in distress due to open fontanelles allowing decompression	Benign external hydrocephalus (benign enlargement of subarachnoid space), macrocrania from other causes, brain tumors, subdural collections	Prenatal: fetal ultrasound showing ventriculomegaly (atrial diameter greater than 10 millimeters); Postnatal: head ultrasound through open fontanelle, magnetic resonance imaging preferred over computed tomography to avoid radiation; serial head circumference measurements	Temporizing: ventricular access device or ventriculosubgaleal shunt; Definitive: ventriculoperitoneal shunt or endoscopic third ventriculostomy with or without choroid plexus cauterization	Y	https://www.nejm.org/doi/full/10.1056/NEJMra2116504																
